time,orov_suitability_pre2024
2018.0325,1.31900000572205
2018.0975,1.31016666938861
2018.1625,1.29606667011976
2018.2275,1.28920000493526
2018.2925,1.3120000064373
2018.3575,1.31041667051613
2018.4225,1.31987500376999
2018.4875,1.32075000554323
2018.5525,1.31449999660254
2018.6175,1.31900000572205
2018.6825,1.30340000391006
2018.7475,1.3120000064373
2018.8125,1.30927500352263
2018.8775,1.31900000572205
2018.9425,1.31975000724196
2019.0075,1.31900000572205
2019.0725,1.31350000202656
2019.1375,1.29670000374317
2019.2025,1.29247499890625
2019.2675,1.29866667056368
2019.3325,1.29379999935627
2019.3975,1.2905000038445
2019.4625,1.29708333251377
2019.5275,1.2851666683952
2019.5925,1.28240000009537
2019.6575,1.28846666862567
2019.7225,1.29425000585616
2019.7875,1.29533333579699
2019.8525,1.2960000038147
2019.9175,1.28366667280595
2019.9825,1.2851999938488
2020.0475,1.28477500602603
2020.1125,1.28530000448227
2020.1775,1.28480000197887
2020.2425,1.28480000048876
2020.3075,1.28525000065565
2020.3725,1.28750000149012
2020.4375,1.29037143077169
2020.5025,1.30100000028809
2020.5675,1.29833333790302
2020.6325,1.30316071478384
2020.6975,1.31248333652814
2020.7625,1.31208333869775
2020.8275,1.31192857293146
2020.8925,1.30706666583816
2020.9575,1.30996666575472
2021.0225,1.30735000272592
2021.0875,1.30188461771378
2021.1525,1.30590000450611
2021.2175,1.31528333425522
2021.2825,1.31015000392993
2021.3475,1.31288333733877
2021.4125,1.30850000182788
2021.4775,1.31447222166591
2021.5425,1.30925000458956
2021.6075,1.32208333661159
2021.6725,1.3299499993523
2021.7375,1.33228571383016
2021.8025,1.33356666664282
2021.8675,1.33991666634878
2021.9325,1.34418571506228
2021.9975,1.34312499935428
2022.0625,1.34700000286102
2022.1275,1.34328571423179
2022.1925,1.3488000035286
2022.2575,1.34583928702133
2022.3225,1.34621428591864
2022.3875,1.3398241762604
2022.4525,1.3458571434021
2022.5175,1.34700000286102
2022.5825,1.34462857246399
2022.6475,1.33533333738645
2022.7125,1.34705602574143
2022.7775,1.34591776280615
2022.8425,1.31678411352641
2022.9075,1.31398439037785
2022.9725,1.33472395261753
2023.0375,1.35324829872571
2023.1025,1.33095964693781
2023.1675,1.35389730888077
2023.2325,1.31716753375073
2023.2975,1.33831767566653
2023.3625,1.34847405205327
2023.4275,1.35299999707124
2023.4925,1.40999999987925
2023.5575,1.46271366849079
2023.6225,1.4920140326546
2023.6875,1.52716665839156
2023.7525,1.54768047302483
2023.8175,1.60346808338357
2023.8825,1.64918530091539
2023.9475,1.60421493712733
2024.0125,1.49503125349662
2024.0775,1.42907732931655
2024.1425,1.3987995589964
2024.2075,1.3989103569292
2024.2725,1.47091357279157
2024.3375,1.40976007667544
2024.4025,NA
2024.4675,NA
