time,sugarcane
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1.3870976236688
2022.7775,8.31970755986454
2022.8425,2.414123954269
2022.9075,3.58262133092591
2022.9725,5.12969494584681
2023.0375,7.93141298356086
2023.1025,6.62585282634384
2023.1675,7.22834159095997
2023.2325,3.82075121014811
2023.2975,6.89833048808757
2023.3625,8.22079401798809
2023.4275,1
2023.4925,1.07042382061481
2023.5575,1.05302774371245
2023.6225,1.44639322261016
2023.6875,2.54691836900181
2023.7525,2.63701065798767
2023.8175,2.60273538016287
2023.8825,3.5845675382778
2023.9475,12.8761592422452
2024.0125,18.9187036237342
2024.0775,36.069694322272
2024.1425,59.0831516720881
2024.2075,145.602907731873
2024.2725,86.2806463185445
2024.3375,149.401518973751
2024.4025,NA
2024.4675,NA
