time,Brazil_annual_mean_temp_2020_crop_mask
2018.0325,28.0100002288818
2018.0975,28.0100002288818
2018.1625,28.0039587497711
2018.2275,28.0100002288818
2018.2925,28.0064820183648
2018.3575,28.0091660817464
2018.4225,28.0113093058268
2018.4875,28.007572616356
2018.5525,28.0237123315985
2018.6175,28.0135006427765
2018.6825,28.013334274292
2018.7475,28.0108327865601
2018.8125,28.0137324540511
2018.8775,28.0194441477458
2018.9425,28.0141658782959
2019.0075,28.013334274292
2019.0725,28.0139882905143
2019.1375,28.0102834320068
2019.2025,28.007560412089
2019.2675,28.0060824799812
2019.3325,28.0029999732971
2019.3975,28.0088707708543
2019.4625,28.0195140838623
2019.5275,28.0139583746592
2019.5925,28.0029412437888
2019.6575,28.0083332538605
2019.7225,28.0117649190566
2019.7875,28.0138454269945
2019.8525,28.0170636858259
2019.9175,28.0083332061768
2019.9825,28.0095237731934
2020.0475,28.0035556236903
2020.1125,28.0108327865601
2020.1775,28.0084028244019
2020.2425,28.0046884025016
2020.3075,28.0144443511963
2020.3725,28.0086231231689
2020.4375,28.0162328380482
2020.5025,28.0194840204148
2020.5675,28.0166667699814
2020.6325,28.0106302408072
2020.6975,28.0116666952769
2020.7625,28.0098486380144
2020.8275,28.0102900214817
2020.8925,28.0091323953994
2020.9575,28.0077513631898
2021.0225,28.003488285597
2021.0875,28.002458190918
2021.1525,28.0003977131534
2021.2175,27.9869623735387
2021.2825,27.9841777865092
2021.3475,27.9716376810488
2021.4125,27.9707271021605
2021.4775,27.9666864758446
2021.5425,27.9556008684067
2021.6075,27.9218299250123
2021.6725,27.9184240595739
2021.7375,27.8920685734068
2021.8025,27.8565835762024
2021.8675,27.8101449220077
2021.9325,27.7870617821103
2021.9975,27.7772981354685
2022.0625,27.7746614217758
2022.1275,27.7492169977605
2022.1925,27.7542273703488
2022.2575,27.7434765134539
2022.3225,27.7384285501071
2022.3875,27.7401086856157
2022.4525,27.7270154350786
2022.5175,27.7447947237613
2022.5825,27.7577835378976
2022.6475,27.758827780933
2022.7125,27.7928071963856
2022.7775,27.8132400296801
2022.8425,27.8369976393363
2022.9075,27.9174293898246
2022.9725,27.9307895082112
2023.0375,27.8347858929438
2023.1025,27.8345970630782
2023.1675,27.7293552382698
2023.2325,27.6528610161261
2023.2975,27.8762322000076
2023.3625,27.7942946454985
2023.4275,27.7885053076682
2023.4925,27.8020194231045
2023.5575,27.8101089180544
2023.6225,27.8075062146892
2023.6875,27.8486652742743
2023.7525,27.8260104840355
2023.8175,27.8857211112939
2023.8825,28.2637248776457
2023.9475,28.2696358803294
2024.0125,27.8322079774492
2024.0775,27.1253319709668
2024.1425,27.1550626191579
2024.2075,24.0760396090094
2024.2725,23.6062435597011
2024.3375,25.2048419861736
2024.4025,NA
2024.4675,NA
