time,Brazil_precipitation_mean_2023_crop_mask
2018.0325,8.60000429153442
2018.0975,8.57246112823486
2018.1625,8.67975616455078
2018.2275,8.67975616455078
2018.2925,8.69284772872925
2018.3575,8.69284772872925
2018.4225,8.68630194664001
2018.4875,8.68048179149628
2018.5525,8.67975616455078
2018.6175,8.67975616455078
2018.6825,8.633860206604
2018.7475,8.66416782140732
2018.8125,8.60124775909242
2018.8775,8.5799925327301
2018.9425,8.5425705909729
2019.0075,8.50427000863212
2019.0725,8.45347009386335
2019.1375,8.44413587025234
2019.2025,8.46019850174586
2019.2675,8.42197663869177
2019.3325,8.43123613085065
2019.3975,8.45598387718201
2019.4625,8.44753786921501
2019.5275,8.42845017569406
2019.5925,8.404137134552
2019.6575,8.39745569229126
2019.7225,8.37571346759796
2019.7875,8.38446432352066
2019.8525,8.36879620552063
2019.9175,8.39863197008769
2019.9825,8.39066278934479
2020.0475,8.38389366865158
2020.1125,8.37745650609334
2020.1775,8.3437659740448
2020.2425,8.3037740730104
2020.3075,8.26405170228746
2020.3725,8.2891395688057
2020.4375,8.29050103681428
2020.5025,8.27906528115273
2020.5675,8.26499895538603
2020.6325,8.2247674389491
2020.6975,8.216512799263
2020.7625,8.21576427278065
2020.8275,8.16112033526103
2020.8925,8.0765694805554
2020.9575,8.06772925456365
2021.0225,7.96148866415024
2021.0875,7.96929688345302
2021.1525,7.92578168348833
2021.2175,7.76889082363674
2021.2825,7.60342696734837
2021.3475,7.51464611291885
2021.4125,7.4632606903712
2021.4775,7.40913347403208
2021.5425,7.4041160941124
2021.6075,7.31719476381938
2021.6725,7.26346739133199
2021.7375,7.19282229741414
2021.8025,7.19953247904778
2021.8675,7.19185827374458
2021.9325,7.17470870699201
2021.9975,7.12545434236526
2022.0625,7.10468328463567
2022.1275,7.08459671906063
2022.1925,7.0766893119523
2022.2575,6.98838253815969
2022.3225,6.97357596102215
2022.3875,6.9687876020159
2022.4525,7.03361696288699
2022.5175,6.98982647487095
2022.5825,6.97067305019924
2022.6475,6.95997597915786
2022.7125,6.2847738329932
2022.7775,5.57384958152826
2022.8425,6.16979917430426
2022.9075,7.06058054846423
2022.9725,7.28724215329993
2023.0375,6.27604052353324
2023.1025,6.40422297085238
2023.1675,5.4832826217046
2023.2325,5.48296373860765
2023.2975,5.46166728115234
2023.3625,5.60395213000443
2023.4275,7.300530982485
2023.4925,7.32288726641207
2023.5575,6.79565567493439
2023.6225,6.53929423658471
2023.6875,6.41927638759537
2023.7525,6.30147028998047
2023.8175,6.30278913852496
2023.8825,6.27255986177305
2023.9475,6.35885553034611
2024.0125,6.00659907934665
2024.0775,5.51555332398881
2024.1425,5.04176533050775
2024.2075,4.74786407944466
2024.2725,4.37789545625651
2024.3375,4.14968099731665
2024.4025,NA
2024.4675,NA
