time,Soil_Moisture_Americas_PM
2018.0325,1.48887291893102
2018.0975,1.48998427641565
2018.1625,1.48808537899847
2018.2275,1.48753902041986
2018.2925,1.4880453471433
2018.3575,1.48680162622973
2018.4225,1.48476362040749
2018.4875,1.48577750352522
2018.5525,1.48665950990928
2018.6175,1.48807601689922
2018.6825,1.48896307902677
2018.7475,1.48693705645372
2018.8125,1.48639488602862
2018.8775,1.48433082947225
2018.9425,1.48485894977872
2019.0075,1.48331764824078
2019.0725,1.48112797571059
2019.1375,1.48033558091759
2019.2025,1.47890574231882
2019.2675,1.47873100223483
2019.3325,1.47811742752293
2019.3975,1.47832975704459
2019.4625,1.4800789172667
2019.5275,1.47900093526232
2019.5925,1.47537365159622
2019.6575,1.47213660714934
2019.7225,1.47120803820845
2019.7875,1.47169426201609
2019.8525,1.4722314154996
2019.9175,1.47150310249823
2019.9825,1.46930073307635
2020.0475,1.46904850368593
2020.1125,1.46849126812965
2020.1775,1.46550984908639
2020.2425,1.46208211008629
2020.3075,1.45934772495405
2020.3725,1.45558893371223
2020.4375,1.45550090238576
2020.5025,1.45389166512619
2020.5675,1.45248406744183
2020.6325,1.45163371667468
2020.6975,1.4490136450424
2020.7625,1.44836253536924
2020.8275,1.44440457850405
2020.8925,1.43811016192227
2020.9575,1.43135007406256
2021.0225,1.42918502070078
2021.0875,1.42730226985862
2021.1525,1.42346122353927
2021.2175,1.41907809548328
2021.2825,1.41474964913789
2021.3475,1.41327590591815
2021.4125,1.40867035473394
2021.4775,1.4013434311981
2021.5425,1.39834709151398
2021.6075,1.39625543497805
2021.6725,1.39202064015811
2021.7375,1.38590830486116
2021.8025,1.38254993262414
2021.8675,1.37911240791622
2021.9325,1.37852080163371
2021.9975,1.37642314434834
2022.0625,1.37585813136078
2022.1275,1.37640558758041
2022.1925,1.37510348341402
2022.2575,1.37713955027518
2022.3225,1.38209046897354
2022.3875,1.3857180363805
2022.4525,1.38872728467756
2022.5175,1.39272244664829
2022.5825,1.38663778188281
2022.6475,1.37993974059759
2022.7125,1.36460812956515
2022.7775,1.34823555093075
2022.8425,1.36247753474157
2022.9075,1.38422681018168
2022.9725,1.38736712766309
2023.0375,1.34841132310541
2023.1025,1.34512188198648
2023.1675,1.31029204110961
2023.2325,1.28859074956105
2023.2975,1.33452560415388
2023.3625,1.3435867586974
2023.4275,1.40065336107926
2023.4925,1.38616642770566
2023.5575,1.36434388751251
2023.6225,1.35360022306493
2023.6875,1.33533823575898
2023.7525,1.32318677370173
2023.8175,1.31013949945418
2023.8825,1.28007535669802
2023.9475,1.31818110402394
2024.0125,1.33847656341114
2024.0775,1.32216889155452
2024.1425,1.25126048062879
2024.2075,1.23598234314534
2024.2725,1.25775155393272
2024.3375,1.22335784064173
2024.4025,NA
2024.4675,NA
