time,elevation
2018.0325,82.8875739855134
2018.0975,80.386300323532
2018.1625,82.3564716748768
2018.2275,83.3760911855029
2018.2925,83.4352348617181
2018.3575,83.3511030961686
2018.4225,82.2649768162456
2018.4875,82.3332593655633
2018.5525,82.6988883521104
2018.6175,83.7091480060361
2018.6825,84.7603047007161
2018.7475,84.364603604216
2018.8125,83.6946336732768
2018.8775,83.7231663396978
2018.9425,83.8357329269877
2019.0075,83.9309964802599
2019.0725,84.5103428909444
2019.1375,84.0677254786719
2019.2025,84.0786075410881
2019.2675,84.067782480189
2019.3325,84.2623123210658
2019.3975,84.6547936029851
2019.4625,85.0563231197048
2019.5275,85.7870916191507
2019.5925,86.6952420811593
2019.6575,87.224648885025
2019.7225,88.0674440193422
2019.7875,89.7732265157382
2019.8525,90.8807549522883
2019.9175,92.3758529840595
2019.9825,94.2638089120652
2020.0475,96.093944430265
2020.1125,97.9421901621017
2020.1775,98.6207261588496
2020.2425,100.510577294768
2020.3075,102.014008319714
2020.3725,103.717688776187
2020.4375,105.457427029352
2020.5025,107.436245070848
2020.5675,108.335017973031
2020.6325,109.438932804932
2020.6975,111.696535779533
2020.7625,113.010935284649
2020.8275,115.141411177486
2020.8925,118.057850494911
2020.9575,120.012160621629
2021.0225,123.042986763201
2021.0875,125.216477805839
2021.1525,127.758958549016
2021.2175,130.174634527948
2021.2825,134.463067743102
2021.3475,137.766258033914
2021.4125,139.239847555368
2021.4775,140.790792129311
2021.5425,140.399983582688
2021.6075,144.236629951089
2021.6725,150.903672687702
2021.7375,154.35341042943
2021.8025,155.943611600864
2021.8675,158.363976875078
2021.9325,161.492497273374
2021.9975,163.601074145018
2022.0625,165.962958296352
2022.1275,171.109335956354
2022.1925,174.242155705919
2022.2575,175.707842047126
2022.3225,178.921020675308
2022.3875,176.887722958495
2022.4525,174.121821772059
2022.5175,172.264346520021
2022.5825,168.760922699169
2022.6475,165.104969350426
2022.7125,168.505051860216
2022.7775,183.854932589982
2022.8425,159.950606257476
2022.9075,103.685006282504
2022.9725,87.9958208546592
2023.0375,154.396300407113
2023.1025,152.907434373361
2023.1675,217.688380302628
2023.2325,246.215797087897
2023.2975,175.151438027633
2023.3625,177.702817247135
2023.4275,75.1463595926094
2023.4925,78.7275959631792
2023.5575,95.5418549024759
2023.6225,112.396925904111
2023.6875,138.268239868121
2023.7525,161.907193272155
2023.8175,159.226672149454
2023.8825,110.399375642965
2023.9475,44.1690340194796
2024.0125,145.364084964441
2024.0775,254.145237718264
2024.1425,300.827959731426
2024.2075,474.195252046711
2024.2725,491.658916725236
2024.3375,476.912832034747
2024.4025,NA
2024.4675,NA
