time,orov_suitability_premid2023
2018.0325,1.4635999917984
2018.0975,1.4533333281676
2018.1625,1.44499999284744
2018.2275,1.44499999284744
2018.2925,1.47199999541044
2018.3575,1.47112498879433
2018.4225,1.46849999129772
2018.4875,1.47469999492168
2018.5525,1.46999999284744
2018.6175,1.47889999225736
2018.6825,1.46633332471053
2018.7475,1.46300000548363
2018.8125,1.47262499978145
2018.8775,1.48099999129772
2018.9425,1.47659999132156
2019.0075,1.46874998509884
2019.0725,1.45379999279976
2019.1375,1.45359999537468
2019.2025,1.45752499252558
2019.2675,1.45319999456406
2019.3325,1.44299999624491
2019.3975,1.44499999284744
2019.4625,1.44583332786957
2019.5275,1.43983332316081
2019.5925,1.4379999935627
2019.6575,1.44039998948574
2019.7225,1.44558332363764
2019.7875,1.44763333102067
2019.8525,1.4379999935627
2019.9175,1.4386666615804
2019.9825,1.4379999935627
2020.0475,1.44549999705383
2020.1125,1.43962499499321
2020.1775,1.43983332316081
2020.2425,1.43822499737144
2020.3075,1.44474999606609
2020.3725,1.44474999606609
2020.4375,1.44814284827028
2020.5025,1.45624999888241
2020.5675,1.45179999768734
2020.6325,1.45159999728203
2020.6975,1.46399998962879
2020.7625,1.46216665988877
2020.8275,1.46033332745234
2020.8925,1.4570999994874
2020.9575,1.46068749763072
2021.0225,1.46462499847015
2021.0875,1.45759999553363
2021.1525,1.45983332892259
2021.2175,1.46258332580328
2021.2825,1.46379999220371
2021.3475,1.46242499500513
2021.4125,1.46231249533594
2021.4775,1.46204166362683
2021.5425,1.46014286151954
2021.6075,1.46204166362683
2021.6725,1.46308332930009
2021.7375,1.46433332562447
2021.8025,1.46374999731779
2021.8675,1.46254166360531
2021.9325,1.46520000100136
2021.9975,1.46359722192089
2022.0625,1.4625
2022.1275,1.46219999790192
2022.1925,1.46128571331501
2022.2575,1.45828518271446
2022.3225,1.45246249884367
2022.3875,1.43937500193715
2022.4525,1.43724999576807
2022.5175,1.43516666690509
2022.5825,1.42925714382104
2022.6475,1.41228571534157
2022.7125,1.40747883282517
2022.7775,1.38265943054244
2022.8425,1.356301704979
2022.9075,1.35859409895932
2022.9725,1.36858568315089
2023.0375,1.39695542530039
2023.1025,1.3759569642584
2023.1675,1.38504125276067
2023.2325,1.36059453581487
2023.2975,1.38281821952951
2023.3625,1.36745742910348
2023.4275,1.36198157855359
2023.4925,1.41565185421043
2023.5575,1.43699896366453
2023.6225,1.48252500221133
2023.6875,1.52055492647218
2023.7525,1.53708753921875
2023.8175,1.60496252489087
2023.8825,1.66931517636123
2023.9475,1.54176441650977
2024.0125,1.4058860848037
2024.0775,1.34282544859437
2024.1425,1.35113922320508
2024.2075,1.33853250677834
2024.2725,1.45216537805147
2024.3375,1.3924166682908
2024.4025,NA
2024.4675,NA
