time,sugarcane
2018.0325,1.41340054148122
2018.0975,1.34272828568583
2018.1625,1.27382307281861
2018.2275,1.39111663463675
2018.2925,1.24763020909194
2018.3575,1.21448685940769
2018.4225,1.3339726306774
2018.4875,1.42893097211917
2018.5525,1.17919129467592
2018.6175,1.17089782512706
2018.6825,1.16163199454749
2018.7475,1.18897345872045
2018.8125,1.3044599108122
2018.8775,1.45170633435249
2018.9425,1.34132081859293
2019.0075,1.29769003518292
2019.0725,1.33478000875729
2019.1375,1.3690301168783
2019.2025,1.4244786384481
2019.2675,1.35725516839712
2019.3325,1.23261629029344
2019.3975,1.26045486604758
2019.4625,1.31057548555486
2019.5275,1.29026739857778
2019.5925,1.20977313564198
2019.6575,1.31500178461825
2019.7225,1.31576151443071
2019.7875,1.22876702508818
2019.8525,1.1393634735485
2019.9175,1.18077837967653
2019.9825,1.22287489808924
2020.0475,1.18211242496484
2020.1125,1.04144360988487
2020.1775,1.10988215985603
2020.2425,1.11161072976325
2020.3075,1.19654327888786
2020.3725,1.08538824965044
2020.4375,1.22543129608133
2020.5025,1.26190051042106
2020.5675,1.16732003783186
2020.6325,1.16544246250347
2020.6975,1.14348176530145
2020.7625,1.1264433219816
2020.8275,1.17324014718192
2020.8925,1.10160727503044
2020.9575,1.12127974889108
2021.0225,1.0567293228209
2021.0875,1.04353765057666
2021.1525,1.057707089997
2021.2175,1.05610767735547
2021.2825,1.02516846016049
2021.3475,1.00255096248786
2021.4125,1.02331018550528
2021.4775,1.04442545616015
2021.5425,1.04669848104163
2021.6075,1.12118185086851
2021.6725,1.02635833613284
2021.7375,1.01912148289788
2021.8025,1.03685489502549
2021.8675,1.02762890912721
2021.9325,1.02093387967501
2021.9975,1.08791312619752
2022.0625,1.07947920571201
2022.1275,1.03219804589185
2022.1925,1.08929755106405
2022.2575,1.0682577949168
2022.3225,1.19029198970774
2022.3875,1.25015347370752
2022.4525,1.53570664635629
2022.5175,2.08235324100078
2022.5825,2.66667378813336
2022.6475,2.7534712478288
2022.7125,5.43741796171794
2022.7775,7.38113806926098
2022.8425,3.79020832020877
2022.9075,4.06112961820708
2022.9725,5.43691096889387
2023.0375,8.09215204444327
2023.1025,6.6076960995254
2023.1675,7.28028237672823
2023.2325,4.07312002812212
2023.2975,5.79506151240441
2023.3625,7.30784816081703
2023.4275,7.95384291323675
2023.4925,10.32394250774
2023.5575,8.33542670129493
2023.6225,8.54119538943981
2023.6875,10.4048757401248
2023.7525,8.55586049424288
2023.8175,4.20875643327135
2023.8825,4.22990701126345
2023.9475,12.9802705838446
2024.0125,21.2758178901481
2024.0775,36.03007096189
2024.1425,76.9344623475246
2024.2075,139.029370761163
2024.2725,87.8571995054512
2024.3375,152.427620678051
2024.4025,NA
2024.4675,NA
