time,mixed_trees
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1.36044260810505
2022.7775,4.027726032441
2022.8425,1.87508187177061
2022.9075,1.2899629744957
2022.9725,1.39633507853403
2023.0375,3.63627324139044
2023.1025,3.83340737293508
2023.1675,7.14341095851387
2023.2325,9.40456459938778
2023.2975,5.35243932673324
2023.3625,4.4289953385698
2023.4275,1.06799815285154
2023.4925,1.1136393018746
2023.5575,1.08202716823406
2023.6225,1.21953721953722
2023.6875,1.50438340151958
2023.7525,1.53216093279518
2023.8175,1.68092735842674
2023.8825,3.78104922193282
2023.9475,2.4798049109543
2024.0125,7.32718179150711
2024.0775,14.3724320521896
2024.1425,16.7811295286179
2024.2075,20.691127003664
2024.2725,22.2445881218224
2024.3375,29.0288461538461
2024.4025,NA
2024.4675,NA
