time,shrublands
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1.15578456052024
2022.7775,1.30206426118745
2022.8425,1.10034556087188
2022.9075,1.17381480894244
2022.9725,1.26598611014331
2023.0375,1.4211874982274
2023.1025,1.37579039812646
2023.1675,1.43756076154782
2023.2325,1.25945302444544
2023.2975,1.45491127227988
2023.3625,1.29507213903773
2023.4275,1
2023.4925,1.01310747014718
2023.5575,1.02333056622715
2023.6225,1.06329980824169
2023.6875,1.11289866287245
2023.7525,1.24059915743486
2023.8175,1.57513368983957
2023.8825,2.19891527892125
2023.9475,1.89107722921422
2024.0125,2.84860250847998
2024.0775,5.53590616260817
2024.1425,6.13537657648664
2024.2075,8.48003012144889
2024.2725,12.2330861597414
2024.3375,10.5891106861104
2024.4025,NA
2024.4675,NA
