time,deciduous_broadleaf
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1.01227272727273
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1.00157894736842
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1.00253623188406
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1.00479591836735
2022.3225,1.0015
2022.3875,1
2022.4525,1.01436531379457
2022.5175,1.00750461122802
2022.5825,1.00446455682091
2022.6475,1.0073970054001
2022.7125,1.00702421814386
2022.7775,1.01828299809627
2022.8425,1.03786892052286
2022.9075,1.08259421657894
2022.9725,1.07796888244162
2023.0375,1.05478521904054
2023.1025,1.02586099907628
2023.1675,1.00723294125074
2023.2325,1.07933396625818
2023.2975,1.22635766961395
2023.3625,1.01288188098165
2023.4275,1.03427355912167
2023.4925,1.03044858421524
2023.5575,1.02625464145491
2023.6225,1.04081257263216
2023.6875,1.03196274667509
2023.7525,1.05724136623574
2023.8175,1.0132903616245
2023.8825,1.02085149153788
2023.9475,1.13755145734164
2024.0125,1.57339341623953
2024.0775,2.50613893948526
2024.1425,2.5367822370453
2024.2075,4.03444246812571
2024.2725,4.45402551958576
2024.3375,4.96868335925694
2024.4025,NA
2024.4675,NA
