node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
521,522,3.73352334730764,-66.6219056453949,-8.28066650148613,-64.7125949879834,-7.22495262867282,3.73352334730764,0,2018.46628239396,2022.19980574127,NA
522,537,0.330055006762826,-64.7125949879834,-7.22495262867282,-63.5900985633514,-10.1160285421785,4.06357835407047,3.73352334730764,2022.19980574127,2022.52986074803,NA
522,523,0.389914808831233,-64.7125949879834,-7.22495262867282,-65.2516713872763,-5.60127485876985,4.12343815613887,3.73352334730764,2022.19980574127,2022.5897205501,NA
521,1027,4.27872270674687,-66.6219056453949,-8.28066650148613,-69.5415532252846,-8.95291827766229,4.27872270674687,0,2018.46628239396,2022.74500510071,NA
537,661,0.244927938381788,-63.5900985633514,-10.1160285421785,-63.3026604989814,-10.8295614990467,4.30850629245225,4.06357835407047,2022.52986074803,2022.77478868641,NA
1027,1029,0.0438241237919206,-69.5415532252846,-8.95291827766229,-69.545799058244,-8.94869644544104,4.3225468305388,4.27872270674687,2022.74500510071,2022.7888292245,NA
523,524,0.239830794251447,-65.2516713872763,-5.60127485876985,-65.8558137621467,-3.4178090853616,4.36326895039032,4.12343815613887,2022.5897205501,2022.82955134435,NA
661,140,0.0561570430603058,-63.3026604989814,-10.8295614990467,-63.3015919146139,-10.8295408398299,4.36466333551256,4.30850629245225,2022.77478868641,2022.83094572947,PP153977_SegM_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31
1029,509,0.0421165049737642,-69.545799058244,-8.94869644544104,-69.5427640156649,-8.95021065269289,4.36466333551256,4.3225468305388,2022.7888292245,2022.83094572947,PP153978_SegM_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31
524,525,0.0508376045023091,-65.8558137621467,-3.4178090853616,-65.8545200669699,-3.41721821455918,4.41410655489263,4.36326895039032,2022.82955134435,2022.88038894885,NA
661,662,0.139671846483196,-63.3026604989814,-10.8295614990467,-63.3031375456177,-10.8319402154326,4.44817813893545,4.30850629245225,2022.77478868641,2022.91446053289,NA
525,531,0.0716352343124464,-65.8545200669699,-3.41721821455918,-65.8534746240462,-3.41595955606912,4.48574178920508,4.41410655489263,2022.88038894885,2022.95202418316,NA
525,526,0.0789602189101148,-65.8545200669699,-3.41721821455918,-65.8562137984733,-3.4180337547825,4.49306677380274,4.41410655489263,2022.88038894885,2022.95934916776,NA
523,532,0.372037852208482,-65.2516713872763,-5.60127485876985,-64.7957170323219,-7.25679645691173,4.49547600834735,4.12343815613887,2022.5897205501,2022.96175840231,NA
532,533,0.000736380901979361,-64.7957170323219,-7.25679645691173,-64.7949751992188,-7.25787836686383,4.49621238924933,4.49547600834735,2022.96175840231,2022.96249478321,NA
531,7,0.026866751787066,-65.8534746240462,-3.41595955606912,-60.0226725577565,-3.10297832324511,4.51260854099214,4.48574178920508,2022.95202418316,2022.97889093495,PP154129_SegM_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24
531,8,0.026866751787066,-65.8534746240462,-3.41595955606912,-65.853151621776,-3.41545909069798,4.51260854099214,4.48574178920508,2022.95202418316,2022.97889093495,PP154128_SegM_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24
1029,1030,0.193297621221096,-69.545799058244,-8.94869644544104,-69.5430670093039,-8.94948876961777,4.51584445175989,4.3225468305388,2022.7888292245,2022.98212684572,NA
526,528,0.0357857138300766,-65.8562137984733,-3.4180337547825,-65.8561023246456,-3.42071331945485,4.52885248763282,4.49306677380274,2022.95934916776,2022.99513488159,NA
662,1022,0.0831720034043684,-63.3031375456177,-10.8319402154326,-63.3049081300717,-10.8316592099674,4.53135014233982,4.44817813893545,2022.91446053289,2022.9976325363,NA
528,529,0.00406839584039531,-65.8561023246456,-3.42071331945485,-65.8569953628215,-3.4213015088916,4.53292088347322,4.52885248763282,2022.99513488159,2022.99920327743,NA
526,527,0.0430123576023809,-65.8562137984733,-3.4180337547825,-61.3032468231064,-5.80949992266571,4.53607913140512,4.49306677380274,2022.95934916776,2023.00236152536,NA
1027,1028,0.258221979754035,-69.5415532252846,-8.95291827766229,-69.5453171861595,-8.94777010585512,4.53694468650091,4.27872270674687,2022.74500510071,2023.00322708046,NA
529,4,0.00982464382031001,-65.8569953628215,-3.4213015088916,-65.8565324216688,-3.41817087695195,4.54274552729353,4.53292088347322,2022.99920327743,2023.00902792125,PP154149_SegM_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04
527,2,0.00666639588840101,-61.3032468231064,-5.80949992266571,-61.304461506669,-5.81155066540051,4.54274552729353,4.53607913140512,2023.00236152536,2023.00902792125,PP154150_SegM_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04
1022,1024,0.0222754998826211,-63.3049081300717,-10.8316592099674,-63.3061827805991,-10.8319709299933,4.55362564222244,4.53135014233982,2022.9976325363,2023.01990803618,NA
1028,507,0.0194994709293914,-69.5453171861595,-8.94777010585512,-63.2992371640577,-10.8316987205939,4.5564441574303,4.53694468650091,2023.00322708046,2023.02272655139,PP153951_SegM_LVM_ILMD_ZDC089_Brazil_Rondonia_2023-01-09
1028,508,0.0194994709293972,-69.5453171861595,-8.94777010585512,-69.5451992924054,-8.94957047122421,4.55644415743031,4.53694468650091,2023.00322708046,2023.02272655139,PP153952_SegM_LVM_ILMD_ZDC089_Brazil_Rondonia_2023-01-09
533,536,0.0641299830567903,-64.7949751992188,-7.25787836686383,-65.2414647223804,-5.64319688592104,4.56034237230612,4.49621238924933,2022.96249478321,2023.02662476626,NA
