state	joint	prior	likelihood	treeModel.rootHeight	age.root.	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	Location.precision.col11	Location.precision.col12	Location.precision.col21	Location.precision.col22	correlation	Location.varCovar.Location.precision.col11	Location.varCovar.Location.precision.col12	Location.varCovar.Location.precision.col21	Location.varCovar.Location.precision.col22	Location.diffusionRate	treeLikelihood	branchRates	Location.traitLikelihood	coalescent	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3
231800000	-25040.8933251643	-8592.88789103375	-16448.0054341305	4.82333136469038	2019.53185989214	40.909291196073	1.28256264598254	27.7681872041537	0.373872645132821	0.162839194640106	0.18264015873827	0.280648001488793	0.547822655385279	0.749168962880062	0.010452627473818	0.026292184776064	0.00565727292648992	1.85592176928926	0.131835272441079	108.590920665747	4.93672179560487	4.93672179560487	94.6026148615548	-0.0487068816473189	0.00923077174087436	-0.000481696537776641	-0.000481696537776641	0.0105956690865663	959.047826633666	-19303.5243216791	-7208.96300414742	2855.51888754861	-644.599468594461	4442.37759476471	3870.12591928128	201.9577894904
378800000	-24954.4102665938	-8577.40165266686	-16377.0086139269	4.67077358975373	2019.68441766708	38.8995051159932	1.10134684087663	25.1950493273262	0.37187469709065	0.16601724754321	0.183879671894098	0.278228383472031	0.724624644821625	0.774303409834884	0.0136110682366725	0.0453999353540009	0.00564663140065584	2.18703573833027	0.0972427748599908	109.996393730749	-0.516600394948142	-0.516600394948142	100.063223753026	0.00492411588518699	0.00909142757855363	4.6936675649341e-05	4.6936675649341e-05	0.00999392394126151	1005.18014355339	-19253.6393100279	-7208.96300414742	2876.63069610099	-587.270819851624	4278.80528067009	3892.40988430363	-20.0954997062094
199600000	-25112.2159327792	-8671.34939622125	-16440.866536558	5.03404034278372	2019.32115091405	42.8979383871323	1.34304040143194	22.287765026018	0.359696558822593	0.176434588194415	0.184790524358083	0.279078328624902	0.950674082228965	0.78978599059308	0.00950319237894382	0.0256067652011558	0.00479107395102179	1.70067135390924	0.102794905229837	102.600447852103	0.913854677970366	0.913854677970366	89.8824349473932	-0.00951623364746742	0.00974742886450237	-9.91042740578003e-05	-9.91042740578003e-05	0.0111266519146905	919.592592969616	-19251.2267323683	-7208.96300414742	2810.36019581036	-668.441659646796	4401.34769045168	3855.7711564587	39.2024816703654
449600000	-25073.6439168045	-8700.67456948543	-16372.9693473191	5.8956812957485	2018.45950996108	49.8294569620218	1.43180539918033	22.1268241407095	0.360143584833823	0.174144025850995	0.188221886918915	0.277490502396267	0.601716415622663	0.755117762674872	0.0106284694553005	0.0250759740315048	0.00479738255939564	1.91732916892115	0.120161761762007	109.718554171921	4.25541304039369	4.25541304039369	74.5746883123741	-0.0470441860297343	0.00913444468827031	-0.000521233623939539	-0.000521233623939539	0.0134391183797158	798.815346557864	-19239.7080839862	-7208.96300414742	2866.73873666711	-728.945049271548	5467.21597304501	3716.01622171764	212.044920951924
243800000	-25007.3414504774	-8540.9987891565	-16466.3426613209	6.52052866788988	2017.83466258894	46.7865672005682	1.24463899541418	22.6571304468435	0.358725318884124	0.16856283458241	0.188800116903898	0.283911729629561	0.607205431200991	0.752701542993834	0.00972227434606672	0.0249248276050138	0.00493836988857934	1.76855476117515	0.180304927919999	108.950358514559	-0.224313281819271	-0.224313281819271	85.3065487572758	0.00232674865471051	0.00917854174527545	2.41349445170505e-05	2.41349445170505e-05	0.0117224929194351	842.777287551408	-19294.3769341441	-7208.96300414742	2828.03427282315	-664.893302111452	5097.41327016743	3991.20057608083	-10.4948484338173
421400000	-25062.826551048	-8653.43880513362	-16409.3877459144	5.48985026593484	2018.8653409909	44.0404909183686	1.2924524679919	24.5490175986783	0.360743066428845	0.173071016261049	0.188660919025254	0.277524998284845	0.764151029404274	0.761449426365365	0.0106643822147458	0.03288106748894	0.00521787014950121	2.19000503415447	0.0807902764531321	108.767451507146	-3.03353556583366	-3.03353556583366	94.5265327385136	0.0299173243978616	0.00920216327822041	0.000295314857938468	0.000295314857938468	0.0105885175212491	895.921360025327	-19266.1425665568	-7208.96300414742	2856.75482064245	-646.267915222941	4790.17196031455	4162.99490661538	-133.598395537645
423800000	-25033.2689034897	-8641.01184650232	-16392.2570569873	7.32440726827575	2017.03078398855	44.9582650141819	1.30255497128103	25.7096974544482	0.357946424480952	0.168622689567	0.196778221382094	0.276652664569946	0.708094861058609	0.770794398988736	0.0108045123147049	0.0285778353789247	0.00510564284143595	1.68612923516214	0.145245096634802	96.9656211308118	0.191809511715964	0.191809511715964	75.9949525245613	-0.00223444090838743	0.0103129849640425	-2.60297367729486e-05	-2.60297367729486e-05	0.0131588343637415	870.958735573605	-19250.0236664685	-7208.96300414742	2857.76660948119	-662.163127311858	4359.40609206379	3416.6012153394	8.62342285996712
184000000	-25217.3322384974	-8774.25115977731	-16443.08107872	4.31458029359021	2020.04061096324	46.0033384065939	1.69759289832059	23.5006259599924	0.361379983501371	0.168926242856865	0.1905684704658	0.279125303175953	0.780253499383321	0.779100164366002	0.00911932454264511	0.0332236728127791	0.00454965670728813	2.19677111117476	0.0560002331591508	96.6022922459536	-2.93279840225467	-2.93279840225467	80.6387331568384	0.0332289521971528	0.0103631638599158	0.000376904115687822	0.000376904115687822	0.0124146963202062	856.047932443334	-19230.9402371816	-7208.96300414742	2787.85915846154	-773.879577433645	4444.02794104328	3709.65093009306	-134.918517377239
172000000	-25017.9725351265	-8618.43301798672	-16399.5395171398	7.92948020540843	2016.42571105142	42.8469916826097	1.13843606005384	22.4633994833275	0.36929997345922	0.161197895544245	0.188282018812658	0.28122011218387	0.812550723743207	0.778745251764808	0.0118466962075679	0.034886144197225	0.00484590535602949	2.00134007259725	0.0852715019140108	108.912146628294	4.88676296941081	4.88676296941081	81.819855440506	-0.0517670910507747	0.00920638389336748	-0.000549859391098554	-0.000549859391098554	0.0122548130537812	924.482933434725	-19228.638087286	-7208.96300414742	2829.09857014618	-616.960244195982	4666.55784071768	3505.73466553169	209.38309230523
322000000	-25006.5941783909	-8632.5233491316	-16374.0708292593	4.75278268258823	2019.60240857424	41.3353579923015	1.30221025165032	26.5328448050624	0.357411122848003	0.161097788467614	0.191957444960026	0.289533643724348	0.67326760066655	0.757325451982517	0.0108336901777012	0.0293137787571942	0.00521040032968367	2.34843028311098	0.108841515432806	123.077212696902	1.43320040192044	1.43320040192044	92.1465726478807	-0.0134579373399464	0.00812645271183977	-0.000126394666216206	-0.000126394666216206	0.0108542414562548	947.054342603716	-19250.591028946	-7208.96300414742	2876.52019968677	-634.655486190966	5087.44064752108	3808.91156816376	59.2418516880917
