node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
490,491,5.388424464062,-64.9944029605436,-6.93574556952358,-60.02685840711,-3.10651782154959,5.388424464062,0,2017.58153619937,2022.96996066344,NA
490,813,5.093447703025,-64.9944029605436,-6.93574556952358,-63.6879815187327,-6.75838911712372,5.093447703025,0,2017.58153619937,2022.6749839024,NA
813,814,0.1053832871012,-63.6879815187327,-6.75838911712372,-66.9900983498727,-8.00220792407628,5.1988309901262,5.093447703025,2022.6749839024,2022.7803671895,NA
814,821,0.0449106003059,-66.9900983498727,-8.00220792407628,-69.543583181315,-8.94969670873041,5.2437415904321,5.1988309901262,2022.7803671895,2022.82527778981,NA
821,486,0.005667939664784,-69.543583181315,-8.94969670873041,-69.5393602476533,-8.9519417771381,5.24940953009688,5.2437415904321,2022.82527778981,2022.83094572947,PP153977_SegS_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31
813,976,0.2744448486311,-63.6879815187327,-6.75838911712372,-61.3046131908739,-5.8120841736874,5.3678925516561,5.093447703025,2022.6749839024,2022.94942875103,NA
821,822,0.151685115893,-69.543583181315,-8.94969670873041,-69.5460372720296,-8.95290060496726,5.3954267063251,5.2437415904321,2022.82527778981,2022.9769629057,NA
491,323,0.008930271514603,-60.02685840711,-3.10651782154959,-60.0285551908088,-3.10683331403552,5.3973547355766,5.388424464062,2022.96996066344,2022.97889093495,PP154128_SegS_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24
814,815,0.2033299549484,-66.9900983498727,-8.00220792407628,-64.7977604873021,-7.26131192714593,5.4021609450746,5.1988309901262,2022.7803671895,2022.98369714445,NA
976,489,0.05959917022175,-61.3046131908739,-5.8120841736874,-61.3048239437158,-5.813656762169,5.42749172187785,5.3678925516561,2022.94942875103,2023.00902792125,PP154149_SegS_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04
822,823,0.03617402884512,-69.5460372720296,-8.95290060496726,-69.5396055641243,-8.95046406468665,5.43160073517022,5.3954267063251,2022.9769629057,2023.01313693454,NA
823,824,0.005133487036811,-69.5396055641243,-8.95046406468665,-69.5394828277392,-8.95090759825666,5.43673422220703,5.43160073517022,2023.01313693454,2023.01827042158,NA
823,461,0.009589616844406,-69.5396055641243,-8.95046406468665,-69.5443683998083,-8.95182563317562,5.44119035201463,5.43160073517022,2023.01313693454,2023.02272655139,PP153951_SegS_LVM_ILMD_ZDC089_Brazil_Rondonia_2023-01-09
815,324,0.06094721515934,-64.7977604873021,-7.26131192714593,-64.7954379057185,-7.25507119738483,5.46310816023394,5.4021609450746,2022.98369714445,2023.04464435961,PP154146_SegS_LACENAM_ILMD_0021CSO_Brazil_Amazonas_2023-01-17
824,825,0.03119657570217,-69.5394828277392,-8.95090759825666,-69.5380159621075,-8.94893077817832,5.4679307979092,5.43673422220703,2023.01827042158,2023.04946699728,NA
822,953,0.08522847656224,-69.5460372720296,-8.95290060496726,-66.2222760938991,-10.0526986876835,5.48065518288734,5.3954267063251,2022.9769629057,2023.06219138226,NA
824,460,0.048291746246,-69.5394828277392,-8.95090759825666,-69.537238754534,-8.94911908166671,5.48502596845303,5.43673422220703,2023.01827042158,2023.06656216783,PP153975_SegS_LVM_ILMD_ZCD103_Brazil_Rondonia_2023-01-25
825,826,0.02003670776236,-69.5380159621075,-8.94893077817832,-69.5377489509477,-8.94891463797031,5.48796750567156,5.4679307979092,2023.04946699728,2023.06950370505,NA
826,331,0.01623654497319,-69.5377489509477,-8.94891463797031,-69.5369886584404,-8.95182137185109,5.50420405064475,5.48796750567156,2023.06950370505,2023.08574025002,PP153972_SegS_LVM_ILMD_ZCD117_Brazil_Rondonia_2023-02-01
826,827,0.02870419404332,-69.5377489509477,-8.94891463797031,-69.5374189950367,-8.94866077083872,5.51667169971488,5.48796750567156,2023.06950370505,2023.09820789909,NA
827,333,0.001230981066885,-69.5374189950367,-8.94866077083872,-69.537437578346,-8.94971269816187,5.51790268078177,5.51667169971488,2023.09820789909,2023.09943888016,PP153969_SegS_LVM_ILMD_ZCD121_Brazil_Rondonia_2023-02-06
815,816,0.1170812726795,-64.7977604873021,-7.26131192714593,-64.7946478287956,-7.25903714353123,5.5192422177541,5.4021609450746,2022.98369714445,2023.10077841713,NA
816,820,0.00968772475714,-64.7946478287956,-7.25903714353123,-64.7929029981712,-7.26203734646988,5.52892994251124,5.5192422177541,2023.10077841713,2023.11046614189,NA
976,977,0.1677770589664,-61.3046131908739,-5.8120841736874,-61.3042534836078,-5.8089169651896,5.5356696106225,5.3678925516561,2022.94942875103,2023.11720581,NA
977,487,0.001411152351193,-61.3042534836078,-5.8089169651896,-61.3053936557778,-5.80894402773117,5.53708076297369,5.5356696106225,2023.11720581,2023.11861696235,PP154143_SegS_LACENAM_ILMD_0044NGF_Brazil_Amazonas_2023-02-13
816,817,0.02004446831543,-64.7946478287956,-7.25903714353123,-64.7965542191839,-7.25970661837956,5.53928668606953,5.5192422177541,2023.10077841713,2023.12082288544,NA
827,332,0.0231487892862,-69.5374189950367,-8.94866077083872,-69.5372298231607,-8.94563952249337,5.53982048900108,5.51667169971488,2023.09820789909,2023.12135668838,PP153966_SegS_LVM_ILMD_ZCD123_Brazil_Rondonia_2023-02-14
953,954,0.06063198374863,-66.2222760938991,-10.0526986876835,-67.8056528585599,-9.96760111337642,5.54128716663597,5.48065518288734,2023.06219138226,2023.12282336601,NA
977,488,0.006890604405908,-61.3042534836078,-5.8089169651896,-61.3031702431054,-5.80861888517238,5.54256021502841,5.5356696106225,2023.11720581,2023.1240964144,PP154140_SegS_LACENAM_ILMD_0051JSL_Brazil_Amazonas_2023-02-15
