node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
521,522,0.452800984524502,-65.8607264010251,-3.416812987096,-65.8609067873819,-3.41540942575531,0.452800984524502,0,2018.79536749857,2019.2481684831
521,529,3.55735350103877,-65.8607264010251,-3.416812987096,-69.5425944739745,-8.94922347929353,3.55735350103877,0,2018.79536749857,2022.35272099961
529,530,0.264744307291847,-69.5425944739745,-8.94922347929353,-69.5418946989182,-8.94915120287651,3.82209780833062,3.55735350103877,2022.35272099961,2022.61746530691
529,538,0.316801043010218,-69.5425944739745,-8.94922347929353,-69.543579260409,-8.94885555807641,3.87415454404899,3.55735350103877,2022.35272099961,2022.66952204262
538,539,0.00229118113295246,-69.543579260409,-8.94885555807641,-69.5427254968247,-8.94805218195065,3.87644572518194,3.87415454404899,2022.66952204262,2022.67181322376
539,904,0.0569873234896643,-69.5427254968247,-8.94805218195065,-69.5447667216091,-8.94984906837748,3.93343304867161,3.87644572518194,2022.67181322376,2022.72880054725
539,540,0.0660089175226286,-69.5427254968247,-8.94805218195065,-63.922666968246,-9.97419265918902,3.94245464270457,3.87644572518194,2022.67181322376,2022.73782214128
522,523,3.49890327954099,-65.8609067873819,-3.41540942575531,-65.860345430192,-3.41825300372687,3.95170426406549,0.452800984524502,2019.2481684831,2022.74707176264
540,541,0.0140142010738982,-63.922666968246,-9.97419265918902,-63.3003940630147,-10.8313828649633,3.95646884377847,3.94245464270457,2022.73782214128,2022.75183634235
904,905,0.0727855977474652,-69.5447667216091,-8.94984906837748,-69.5432199405561,-8.94865317576724,4.00621864641907,3.93343304867161,2022.72880054725,2022.80158614499
522,524,3.56739176348739,-65.8609067873819,-3.41540942575531,-65.8596893960973,-3.41562209984946,4.0201927480119,0.452800984524502,2019.2481684831,2022.81556024659
904,510,0.102145182224493,-69.5447667216091,-8.94984906837748,-69.5461690498605,-8.94998835237626,4.0355782308961,3.93343304867161,2022.72880054725,2022.83094572947
540,18,0.0931235881915293,-63.922666968246,-9.97419265918902,-63.2986584126484,-10.8317601457468,4.0355782308961,3.94245464270457,2022.73782214128,2022.83094572947
541,542,0.111831376553355,-63.3003940630147,-10.8313828649633,-63.3007460145092,-10.8310038491233,4.06830022033182,3.95646884377847,2022.75183634235,2022.86366771891
538,1031,0.229835572413407,-69.543579260409,-8.94885555807641,-69.5411443503888,-8.94644182665688,4.1039901164624,3.87415454404899,2022.66952204262,2022.89935761504
541,898,0.188622186043043,-63.3003940630147,-10.8313828649633,-64.7932564444552,-7.25619691545432,4.14509102982151,3.95646884377847,2022.75183634235,2022.9404585284
524,525,0.125509382191138,-65.8596893960973,-3.41562209984946,-65.8593277708576,-3.4153004080128,4.14570213020303,4.0201927480119,2022.81556024659,2022.94106962878
530,531,0.324895452305342,-69.5418946989182,-8.94915120287651,-69.5419355063793,-8.95117842372793,4.14699326063596,3.82209780833062,2022.61746530691,2022.94236075921
531,532,0.00449627831907518,-69.5419355063793,-8.95117842372793,-69.5410160227084,-8.95231601820606,4.15148953895504,4.14699326063596,2022.94236075921,2022.94685703753
898,899,0.0273140240001255,-64.7932564444552,-7.25619691545432,-64.7941010728081,-7.25640726733653,4.17240505382164,4.14509102982151,2022.9404585284,2022.9677725524
532,534,0.025202237562916,-69.5410160227084,-8.95231601820606,-69.5400827902657,-8.95171896643439,4.17669177651795,4.15148953895504,2022.94685703753,2022.97205927509
524,527,0.1603468735045,-65.8596893960973,-3.41562209984946,-61.3048367773014,-5.81472650383169,4.1805396215164,4.0201927480119,2022.81556024659,2022.97590712009
523,1,0.231819172310182,-65.860345430192,-3.41825300372687,-65.8610951792339,-3.41893110090927,4.18352343637567,3.95170426406549,2022.74707176264,2022.97889093495
523,2,0.231819172310184,-65.860345430192,-3.41825300372687,-60.0224562843606,-3.10142429130248,4.18352343637567,3.95170426406549,2022.74707176264,2022.97889093495
1031,1032,0.0861736945378617,-69.5411443503888,-8.94644182665688,-69.5408895154606,-8.94564937245388,4.19016381100026,4.1039901164624,2022.89935761504,2022.98553130957
1032,1034,0.00445333053867958,-69.5408895154606,-8.94564937245388,-69.5403127341379,-8.94534813369164,4.19461714153894,4.19016381100026,2022.98553130957,2022.98998464011
905,1022,0.188602219941726,-69.5432199405561,-8.94865317576724,-69.5425869718184,-8.94910926539822,4.1948208663608,4.00621864641907,2022.80158614499,2022.99018836494
542,543,0.127714234351356,-63.3007460145092,-10.8310038491233,-63.3004257769144,-10.8303831667347,4.19601445468318,4.06830022033182,2022.86366771891,2022.99138195326
905,906,0.194696964318975,-69.5432199405561,-8.94865317576724,-69.5445288666037,-8.94805580936237,4.20091561073805,4.00621864641907,2022.80158614499,2022.99628310931
525,5,0.0679582924740092,-65.8593277708576,-3.4153004080128,-65.8600779280533,-3.41562516308289,4.21366042267704,4.14570213020303,2022.94106962878,2023.00902792125
527,8,0.0331208011606479,-61.3048367773014,-5.81472650383169,-61.3065540498838,-5.81598827554316,4.21366042267704,4.1805396215164,2022.97590712009,2023.00902792125
1031,1035,0.112016693806659,-69.5411443503888,-8.94644182665688,-67.3747469669382,-9.90552399064358,4.21600681026906,4.1039901164624,2022.89935761504,2023.01137430884
542,550,0.152877660948418,-63.3007460145092,-10.8310038491233,-63.3031311298539,-10.831179009815,4.22117788128024,4.06830022033182,2022.86366771891,2023.01654537985
1035,1038,0.00681710321772844,-67.3747469669382,-9.90552399064358,-67.0766972172205,-9.95440479534421,4.22282391348678,4.21600681026906,2023.01137430884,2023.01819141206
