node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
521,522,1.43495700531033,-66.1169641070222,-8.52508310342855,-64.2124386604543,-8.80880423253913,1.43495700531033,0,2018.3503122866,2019.78526929191
521,894,0.677758690262423,-66.1169641070222,-8.52508310342855,-68.5815483807896,-8.40600723396898,0.677758690262423,0,2018.3503122866,2019.02807097686
522,523,0.108320500732552,-64.2124386604543,-8.80880423253913,-63.304747959003,-10.8300518831711,1.54327750604288,1.43495700531033,2019.78526929191,2019.89358979264
894,895,1.51824421429762,-68.5815483807896,-8.40600723396898,-69.3964366980253,-8.98984187812689,2.19600290456005,0.677758690262423,2019.02807097686,2020.54631519116
895,896,0.0150959763141336,-69.3964366980253,-8.98984187812689,-69.5437222239813,-8.95023478218919,2.21109888087418,2.19600290456005,2020.54631519116,2020.56141116747
896,1020,0.836458190578019,-69.5437222239813,-8.95023478218919,-69.5437885234462,-8.94971085028893,3.0475570714522,2.21109888087418,2020.56141116747,2021.39786935805
1020,1022,0.139153481025168,-69.5437885234462,-8.94971085028893,-69.5419871754143,-8.9504928758269,3.18671055247737,3.0475570714522,2021.39786935805,2021.53702283908
1020,1021,0.188270347113018,-69.5437885234462,-8.94971085028893,-69.5453648176458,-8.9481520183705,3.23582741856522,3.0475570714522,2021.39786935805,2021.58613970517
1022,1023,0.141240833255277,-69.5419871754143,-8.9504928758269,-69.5414627503115,-8.9527781842864,3.32795138573264,3.18671055247737,2021.53702283908,2021.67826367233
523,884,2.02744718701785,-63.304747959003,-10.8300518831711,-64.8032505093748,-7.22818187412508,3.57072469306074,1.54327750604288,2019.89358979264,2021.92103697966
884,885,0.0688908193724913,-64.8032505093748,-7.22818187412508,-64.8283360781339,-7.1432728913815,3.63961551243323,3.57072469306074,2021.92103697966,2021.98992779903
523,524,2.37958109665367,-63.304747959003,-10.8300518831711,-63.3027714232025,-10.8298102302727,3.92285860269656,1.54327750604288,2019.89358979264,2022.2731708893
896,897,1.74250888392695,-69.5437222239813,-8.95023478218919,-67.5337265681362,-9.92592918007371,3.95360776480113,2.21109888087418,2020.56141116747,2022.3039200514
524,525,0.191271734614332,-63.3027714232025,-10.8298102302727,-63.3015471506939,-10.832202983087,4.11413033731089,3.92285860269656,2022.2731708893,2022.46444262391
525,526,0.0285075621240138,-63.3015471506939,-10.832202983087,-63.30100167578,-10.8327433031979,4.1426378994349,4.11413033731089,2022.46444262391,2022.49295018603
526,527,0.00971055470545723,-63.30100167578,-10.8327433031979,-63.3009233349548,-10.8321457626644,4.15234845414036,4.1426378994349,2022.49295018603,2022.50266074074
897,898,0.23114132413707,-67.5337265681362,-9.92592918007371,-67.8103121232983,-9.97252062389995,4.1847490889382,3.95360776480113,2022.3039200514,2022.53506137554
894,1032,3.56504827382743,-68.5815483807896,-8.40600723396898,-65.8552928405196,-3.41729323355746,4.24280696408986,0.677758690262423,2019.02807097686,2022.59311925069
897,1017,0.381149359786974,-67.5337265681362,-9.92592918007371,-67.809975745055,-9.97202270244268,4.3347571245881,3.95360776480113,2022.3039200514,2022.68506941119
527,538,0.254085746204034,-63.3009233349548,-10.8321457626644,-63.3016422304377,-10.8303244495378,4.40643420034439,4.15234845414036,2022.50266074074,2022.75674648694
538,539,0.0318545361243978,-63.3016422304377,-10.8303244495378,-63.3037362179343,-10.8304296267184,4.43828873646879,4.40643420034439,2022.75674648694,2022.78860102307
527,528,0.300243591349733,-63.3009233349548,-10.8321457626644,-63.2995071909408,-10.8295361419246,4.45259204549009,4.15234845414036,2022.50266074074,2022.80290433209
1032,1033,0.214938337371214,-65.8552928405196,-3.41729323355746,-65.8549936452569,-3.41684777532097,4.45774530146107,4.24280696408986,2022.59311925069,2022.80805758806
528,529,0.018392241399426,-63.2995071909408,-10.8295361419246,-63.3001487070676,-10.8313435924463,4.47098428688952,4.45259204549009,2022.80290433209,2022.82129657349
529,530,0.0075332769267602,-63.3001487070676,-10.8313435924463,-63.3040321520468,-10.8341512883195,4.47851756381628,4.47098428688952,2022.82129657349,2022.82882985042
895,374,2.28463053831078,-69.3964366980253,-8.98984187812689,-69.5429203951908,-8.95053028901548,4.48063344287082,2.19600290456005,2020.54631519116,2022.83094572947
524,361,0.557774840174275,-63.3027714232025,-10.8298102302727,-63.3017896520829,-10.8294453861738,4.48063344287083,3.92285860269656,2022.2731708893,2022.83094572947
539,540,0.0985766845870268,-63.3037362179343,-10.8304296267184,-63.3022425296262,-10.8327970185171,4.53686542105582,4.43828873646879,2022.78860102307,2022.88717770766
1033,1034,0.130164692688862,-65.8549936452569,-3.41684777532097,-65.8538292627562,-3.41616303347654,4.58790999414993,4.45774530146107,2022.80805758806,2022.93822228075
1033,1035,0.13969237123035,-65.8549936452569,-3.41684777532097,-65.8557290040564,-3.41775150898031,4.59743767269142,4.45774530146107,2022.80805758806,2022.94774995929
1035,1036,0.0176808038158676,-65.8557290040564,-3.41775150898031,-65.8561509354315,-3.42013331493401,4.61511847650729,4.59743767269142,2022.94774995929,2022.96543076311
1036,1037,0.009913333464725,-65.8561509354315,-3.42013331493401,-65.8564949162253,-3.42040119885319,4.62503180997201,4.61511847650729,2022.96543076311,2022.97534409657
522,889,3.19050012039475,-64.2124386604543,-8.80880423253913,-63.3043168309478,-10.8319612454023,4.62545712570508,1.43495700531033,2019.78526929191,2022.9757694123
1034,512,0.0406686542004702,-65.8538292627562,-3.41616303347654,-60.0224704027699,-3.1031436357992,4.6285786483504,4.58790999414993,2022.93822228075,2022.97889093495
1034,513,0.0406686542004702,-65.8538292627562,-3.41616303347654,-65.8532129992808,-3.41560126364735,4.6285786483504,4.58790999414993,2022.93822228075,2022.97889093495
889,891,0.00639785935358894,-63.3043168309478,-10.8319612454023,-63.3050243633731,-10.8323461361666,4.63185498505867,4.62545712570508,2022.9757694123,2022.98216727166
1035,1039,0.0368424629703585,-65.8557290040564,-3.41775150898031,-61.3033259192602,-5.80910724005173,4.63428013566178,4.59743767269142,2022.94774995929,2022.98459242226
898,902,0.450665600936099,-67.8103121232983,-9.97252062389995,-67.809610400003,-9.97162466859565,4.6354146898743,4.1847490889382,2022.53506137554,2022.98572697647
1022,1025,1.45175067483033,-69.5419871754143,-8.9504928758269,-69.5415448644618,-8.94742065098224,4.6384612273077,3.18671055247737,2021.53702283908,2022.98877351391
1025,1026,0.00914671662399247,-69.5415448644618,-8.94742065098224,-69.5412426312538,-8.94704531620711,4.64760794393169,4.6384612273077,2022.98877351391,2022.99792023053
1026,1027,0.0058043280853397,-69.5412426312538,-8.94704531620711,-69.5409465432516,-8.9474970157363,4.65341227201703,4.64760794393169,2022.99792023053,2023.00372455862
1037,515,0.0336838246797735,-65.8564949162253,-3.42040119885319,-65.8565684977831,-3.41839749693313,4.65871563465179,4.62503180997201,2022.97534409657,2023.00902792125
1039,519,0.024435498990008,-61.3033259192602,-5.80910724005173,-61.3042924606683,-5.81132840289971,4.65871563465179,4.63428013566178,2022.98459242226,2023.00902792125
884,888,1.09380470640761,-64.8032505093748,-7.22818187412508,-65.197048741912,-5.80219213915799,4.66452939946834,3.57072469306074,2021.92103697966,2023.01484168607
1021,499,1.43658684622336,-69.5453648176458,-8.9481520183705,-63.2991506287464,-10.8314172263331,4.67241426478858,3.23582741856522,2021.58613970517,2023.02272655139
1021,500,1.43658684622335,-69.5453648176458,-8.9481520183705,-69.5452976421623,-8.94933855000685,4.67241426478856,3.23582741856522,2021.58613970517,2023.02272655139
530,531,0.197229479845202,-63.3040321520468,-10.8341512883195,-63.3018050518036,-10.8335092613522,4.67574704366148,4.47851756381628,2022.82882985042,2023.02605933026
885,887,1.05209027148527,-64.8283360781339,-7.1432728913815,-64.7980737890955,-7.2576585150127,4.69170578391849,3.63961551243323,2021.98992779903,2023.04201807052
891,893,0.0616383567242296,-63.3050243633731,-10.8323461361666,-63.3064025680385,-10.8330364161256,4.6934933417829,4.63185498505867,2022.98216727166,2023.04380562838
888,366,0.0298026735395485,-65.197048741912,-5.80219213915799,-65.8594719415185,-3.41481439704684,4.69433207300789,4.66452939946834,2023.01484168607,2023.04464435961
888,367,0.0298026735395485,-65.197048741912,-5.80219213915799,-64.7925875683866,-7.25414674857815,4.69433207300789,4.66452939946834,2023.01484168607,2023.04464435961
902,1016,0.0648271826201732,-67.809610400003,-9.97162466859565,-67.8095514133022,-9.97118807124706,4.70024187249447,4.6354146898743,2022.98572697647,2023.05055415909
898,899,0.519075557851737,-67.8103121232983,-9.97252062389995,-67.0756924629642,-9.95242379688403,4.70382464678994,4.1847490889382,2022.53506137554,2023.05413693339
528,535,0.252926823111608,-63.2995071909408,-10.8295361419246,-63.3039897911067,-10.8315604202782,4.7055188686017,4.45259204549009,2022.80290433209,2023.0558311552
1027,1029,0.0558636364264642,-69.5409465432516,-8.9474970157363,-69.5413102100374,-8.94744607392249,4.7092759084435,4.65341227201703,2023.00372455862,2023.05958819504
893,372,0.022756539444087,-63.3064025680385,-10.8330364161256,-63.3075795703338,-10.8336026936045,4.71624988122698,4.6934933417829,2023.04380562838,2023.06656216783
893,373,0.022756539444087,-63.3064025680385,-10.8330364161256,-69.5408755394688,-8.9485630500298,4.71624988122698,4.6934933417829,2023.04380562838,2023.06656216783
1023,1024,1.39473769018661,-69.5414627503115,-8.9527781842864,-67.181806280007,-9.66285973221363,4.72268907591925,3.32795138573264,2021.67826367233,2023.07300136252
1023,501,1.40747657768605,-69.5414627503115,-8.9527781842864,-69.541108238127,-8.95094453601283,4.7354279634187,3.32795138573264,2021.67826367233,2023.08574025002
1036,1038,0.121911012654176,-65.8561509354315,-3.42013331493401,-65.854637274428,-3.41686083604314,4.73702948916146,4.61511847650729,2022.96543076311,2023.08734177576
1029,1030,0.0365907789513549,-69.5413102100374,-8.94744607392249,-69.5418079495787,-8.94685338774913,4.74586668739485,4.7092759084435,2023.05958819504,2023.096178974
885,886,1.10780258208148,-64.8283360781339,-7.1432728913815,-65.1999053695818,-5.80607029053583,4.7474180945147,3.63961551243323,2021.98992779903,2023.09773038111
1024,502,0.0264375176364764,-67.181806280007,-9.66285973221363,-69.5439983449123,-8.95223355542551,4.74912659355573,4.72268907591925,2023.07300136252,2023.09943888016
