Longitude,Latitude,occurrence
-68.5037594,-10.6527544,1
-70.8119953,-9.0237964,1
-68.6546037,-9.0685107,1
-56.7331138,-2.6319989,1
-57.7204693,-3.3941285,1
-63.0298508,-7.5169609,1
-67.6776546,-10.5758778,1
-65.3408691,-10.7870836,1
-70.7651846,-8.1609244,1
-63.580611,-11.5057341,1
-54.812498,-22.2236054,1
-52.7027956,-6.207102,1
-46.6395571,-23.5557714,1
-65.8560646,-3.4168427,1
-63.8971723,-8.7635475,1
-60.5820676,1.5957682,1
-69.5672172,-10.9395409,1
-60.6737553,2.8206339,1
-67.1867923,-10.3308636,1
-70.0301629,-4.3759905,1
-60.0236479,-2.0532661,1
-67.8098191,-9.9740249,1
-63.1483782,-4.0912575,1
-58.438544,-3.135021,1
-67.9510767,-9.8275973,1
-67.5411079,-9.5936386,1
-40.0653505,-19.3990502,1
-64.7965384,-7.2637806,1
-60.0217314,-3.1190275,1
-61.1483114,4.478433,1
-51.6572287,-22.7557219,1
-61.2131697,-3.3264459,1
-72.6745696,-7.6283588,1
-59.1344817,-3.5789467,1
-60.1855862,-3.2799526,1
-61.1265436,1.822514,1
-43.1728965,-22.9068467,1
-67.0586512,-10.0764608,1
-68.7532024,-10.9974896,1
-70.3574386,-8.1674305,1
-59.5940116,-4.393379,1
-50.9947529,-29.9398869,1
-57.5890432,-2.9697392,1
-60.6318987,-3.2897156,1
-69.2619624,-8.8378983,1
-48,-2,1
-48.5,-1.46,1
-49.67,-3.77,1
-48.63,-1.51,1
-48.45,-1.44,1
-48.49,-1.46,1
-59.7,-2.7,1
-48,-3,1
-46,-24,1
-48.45,-1.47,1
-48.41,-1.42,1
-50.06,-6.06,1
-67.06,-10.08,1
-68.5,-10.65,1
-51.29,-0.12,1
-60.02,-3.12,1
-62.92,-0.98,1
-39.07,-16.44,1
-45.25,-5.5,1
-47.4,-6.34,1
-56.13,-15.65,1
-56.08,-13.82,1
-56.1,-15.6,1
-48.88,-1.72,1
-52.21,-3.2,1
-54.95,-2.5,1
-48.37,-1.36,1
-46.64,-1.02,1
-49.68,-2.68,1
-48.47,-1.44,1
-54.93,-2.64,1
-48.3,-1.3,1
-46.78,-1.06,1
-52.54,-3.31,1
-47.18,-1.21,1
-48.15,-1.37,1
-46.72,-0.99,1
-47.92,-1.3,1
-47.86,-0.73,1
-47.62,-1.14,1
-49.33,-5.13,1
-47.6,-0.8,1
-47.45,-0.77,1
-54.64,-2.68,1
-55.42,-7.04,1
-55.86,-1.76,1
-56.23,-4.62,1
-49.9,-6.07,1
-52.23,-1.75,1
-48.04,-2.41,1
-48.16,-1.3,1
-54.7,-2.45,1
-49.67,-5.93,1
-48.15,-2.42,1
-56.02,-5.18,1
-49.68,-3.77,1
-48.14,-0.86,1
-46.14,-1.2,1
-52.01,-2.89,1
-63.03,-9.91,1
-62.26,-10.72,1
-47.88,-12.62,1
-47.42,-6.33,1
-63.90043,-8.76077,1
-61.30722,2.98861,1
-60.90944,2.43083,1
-60.43833,0.94778,1
-59.91389,0.95111,1
-60.60556,2.60972,1
-60.54444,-13.12667,1
-64.22806,-12.43417,1
-63.29278,-10.31472,1
-60.94833,-12.99778,1
-63.5675,-12.05278,1
-62.90417,-10.34833,1
-60.025,-3.10194,1
-64.79444,-7.25889,1
-61.3025,-5.81222,1
-67.81,-9.97472,1
-67.55694,-9.58333,1
-66.88389,-9.82389,1
-64.72417,-3.36833,1
-68.50361,-10.65111,1
-68.67222,-9.06583,1
-67.18722,-10.33528,1
-72.66972,-7.62889,1
-60.62028,-3.29028,1
-57.71889,-3.38333,1
-46.284375,-4.907031250000003,0
-50.571875,0.5773437499999972,0
-39.240624999999994,-15.266406250000003,0
-44.753125,-5.211718750000003,0
-60.984375,-3.992968750000003,0
-43.834374999999994,-2.469531250000003,0
-48.428124999999994,-3.688281250000003,0
-45.365624999999994,-11.914843750000003,0
-48.121875,-5.821093750000003,0
-56.390625,-14.961718750000003,0
-44.140625,-3.383593750000003,0
-49.959374999999994,-5.516406250000003,0
-49.040625,-3.383593750000003,0
-44.140625,-4.907031250000003,0
-45.978125,-3.688281250000003,0
-45.671875,-4.297656250000003,0
-68.946875,-10.391406250000003,0
-46.590625,-5.211718750000003,0
-44.753125,-3.688281250000003,0
-44.446875,-3.992968750000003,0
-47.815625,-4.297656250000003,0
-58.228125,-15.571093750000003,0
-60.984375,-11.305468750000003,0
-49.959374999999994,-2.164843750000003,0
-53.634375,-3.992968750000003,0
-44.753125,-6.430468750000003,0
-45.671875,-3.383593750000003,0
-50.571875,-5.821093750000003,0
-43.834374999999994,-3.383593750000003,0
-45.059375,-1.5554687500000028,0
-42.303124999999994,-21.664843750000003,0
-53.634375,-1.5554687500000028,0
-50.878125,-5.821093750000003,0
-44.753125,-4.602343750000003,0
-60.371875,3.624218749999997,0
-46.284375,-7.039843750000003,0
-44.140625,-3.383593750000003,0
-50.878125,0.27265624999999716,0
-48.121875,-7.039843750000003,0
-53.328125,-22.578906250000003,0
-63.434375,-8.563281250000003,0
-44.140625,-5.821093750000003,0
-44.140625,-3.383593750000003,0
-54.859375,-15.875781250000003,0
-43.834374999999994,-3.688281250000003,0
-48.734375,-6.125781250000003,0
-54.859375,-1.8601562500000028,0
-69.865625,-4.907031250000003,0
-48.734375,-4.907031250000003,0
-61.903125,-11.610156250000003,0
-50.571875,-3.688281250000003,0
-55.165625,-4.297656250000003,0
-54.553124999999994,-6.125781250000003,0
-44.753125,-1.5554687500000028,0
-58.840625,-2.774218750000003,0
-47.815625,-7.344531250000003,0
-48.428124999999994,-3.992968750000003,0
-48.734375,-4.602343750000003,0
-45.365624999999994,-3.688281250000003,0
-39.853125,-18.922656250000003,0
-44.753125,-5.821093750000003,0
-59.146875,-3.078906250000003,0
-47.509375,-22.883593750000003,0
-43.221875,-21.055468750000003,0
-51.184375,-20.446093750000003,0
-49.346875,-1.5554687500000028,0
-46.896874999999994,-21.969531250000003,0
-44.446875,-3.078906250000003,0
-45.978125,-6.125781250000003,0
-49.346875,-1.8601562500000028,0
-50.878125,-24.407031250000003,0
-44.753125,-3.688281250000003,0
-45.365624999999994,-3.992968750000003,0
-51.184375,-3.992968750000003,0
-39.853125,-17.703906250000003,0
-45.365624999999994,-3.992968750000003,0
-49.653125,-8.563281250000003,0
-61.596875,-11.914843750000003,0
-54.246875,-3.078906250000003,0
-45.059375,-4.602343750000003,0
-48.734375,-3.078906250000003,0
-46.284375,-7.344531250000003,0
-47.509375,-3.688281250000003,0
-57.921875,-13.133593750000003,0
-62.209375,-12.219531250000003,0
-57.309375,-16.180468750000003,0
-68.946875,-10.391406250000003,0
-65.271875,-10.086718750000003,0
-49.959374999999994,0.27265624999999716,0
-45.671875,-3.688281250000003,0
-48.121875,-13.742968750000003,0
-47.509375,-5.211718750000003,0
-69.559375,-9.477343750000003,0
-46.590625,-4.907031250000003,0
-49.653125,0.27265624999999716,0
-69.253125,-10.391406250000003,0
-53.328125,-2.469531250000003,0
-51.184375,-6.125781250000003,0
-48.428124999999994,-15.266406250000003,0
-43.528125,-22.274218750000003,0
-50.571875,-3.992968750000003,0
-49.653125,-2.164843750000003,0
-43.834374999999994,-4.297656250000003,0
-47.509375,-5.211718750000003,0
-49.040625,-2.774218750000003,0
-61.903125,-3.383593750000003,0
-49.346875,-6.735156250000003,0
-68.334375,-10.086718750000003,0
-45.671875,-4.907031250000003,0
-41.384375,-18.313281250000003,0
-54.859375,-16.789843750000003,0
-51.490624999999994,-2.469531250000003,0
-43.528125,-3.688281250000003,0
-44.753125,-3.078906250000003,0
-64.965625,-4.297656250000003,0
-52.409375,-21.969531250000003,0
-53.634375,-28.672656250000003,0
-47.509375,-5.516406250000003,0
-47.509375,-2.164843750000003,0
-45.365624999999994,-3.688281250000003,0
-70.171875,-5.821093750000003,0
-63.740625,-8.258593750000003,0
-46.896874999999994,-21.360156250000003,0
-57.615624999999994,-17.399218750000003,0
-45.671875,-4.907031250000003,0
-50.878125,0.27265624999999716,0
-46.284375,-21.664843750000003,0
-49.040625,-5.516406250000003,0
-40.465624999999996,-14.961718750000003,0
-59.453125,-15.571093750000003,0
-51.184375,-0.6414062500000028,0
-51.490624999999994,-1.5554687500000028,0
-61.290625,-11.610156250000003,0
