Longitude,Latitude,occurrence
-39.0761412,-15.2950393,1
-70.7651846,-8.1609244,1
-69.8674302,-6.6623703,1
-43.3230842,-4.1315571,1
-72.7417348,-8.2672986,1
-39.2845674,-14.5918449,1
-64.3866781,-6.5305026,1
-59.9117247,0.9498897,1
-35.3964113,-8.141433,1
-60.6010943,2.6101143,1
-62.8997735,-9.7055092,1
-43.9002798,-22.6269888,1
-62.3635723,-11.1243087,1
-38.7486283,-12.2479449,1
-48.9777681,-27.0862158,1
-46.3982474,-23.1822675,1
-62.0024651,-9.4251996,1
-61.8566786,-12.1326079,1
-48.8284777,-26.9012652,1
-40.3899358,-18.9978908,1
-40.0837763,-13.8590592,1
-56.1354693,-15.6505125,1
-40.3335374,-19.2661489,1
-60.4296301,0.9439379,1
-67.0586512,-10.0764608,1
-39.0153007,-14.1039544,1
-49.0842138,-26.4813798,1
-38.5016363,-12.9777378,1
-35.3179262,-7.511157,1
-47.5500881,-2.0463456,1
-40.3692402,-19.8331165,1
-70.1908196,-4.3670135,1
-38.3185595,-12.8857737,1
-42.6814245,-19.1752202,1
-56.7331138,-2.6319989,1
-40.4626927,-19.2517153,1
-67.5411079,-9.5936386,1
-60.0236479,-2.0532661,1
-61.9592887,-10.8724473,1
-51.0560957,0.0405217,1
-60.6318987,-3.2897156,1
-35.2308917,-7.5976411,1
-42.5503593,-19.4722733,1
-62.1297651,-10.4274006,1
-43.7112909,-22.6083166,1
-59.8256028,-3.1974418,1
-40.6490244,-20.8040572,1
-63.5691858,-12.0600752,1
-61.3741007,-3.8983465,1
-39.0720559,-13.370017,1
-60.1221512,-12.7384594,1
-63.2979357,-10.26045,1
-35.1008129,-8.1183894,1
-48.9095634,-26.7118701,1
-35.8392103,-9.3924078,1
-63.0346209,-9.903959,1
-38.9947042,-4.3037643,1
-37.1134669,-10.6054681,1
-43.3130887,-22.7868557,1
-41.0560307,-19.9009345,1
-71.9503355,-9.1911243,1
-44.3172034,-2.9722383,1
-62.9000387,-10.3419313,1
-39.8887886,-14.0168531,1
-39.6605539,-13.2681466,1
-35.3996839,-9.0510437,1
-56.7421011,-2.1698669,1
-51.2862497,-0.115823,1
-34.920874,-8.1688125,1
-72.6514181,-7.7356276,1
-61.7781409,-11.7256983,1
-54.9650745,-20.9411927,1
-39.0043704,-13.0376935,1
-39.683827,-13.7795966,1
-39.8558783,-18.716613,1
-43.7022996,-22.2449114,1
-40.2670486,-19.8244299,1
-40.4203433,-20.2642916,1
-49.7738151,-16.9730503,1
-40.8528533,-19.2228757,1
-57.0683514,-2.7999106,1
-41.677214,-21.1362798,1
-60.0217314,-3.1190275,1
-49.0729814,-27.1978335,1
-58.438544,-3.135021,1
-39.3016915,-14.9567483,1
-52.0955078,-23.3461253,1
-40.5438556,-19.412928,1
-40.8572284,-19.8035325,1
-41.1109384,-18.0434557,1
-38.8929666,-13.1148417,1
-35.0372522,-8.2869133,1
-61.998303,-11.70721,1
-39.2684399,-3.2781386,1
-68.7532024,-10.9974896,1
-42.4260413,-10.9443248,1
-38.8789563,-4.3313286,1
-41.2922431,-20.149507,1
-39.0346984,-14.7981287,1
-44.2492313,-2.94096,1
-63.6189426,-10.5701976,1
-60.9022959,-12.5551511,1
-60.6737553,2.8206339,1
-39.4297707,-12.7630815,1
-40.7624728,-16.6390622,1
-39.104571,-13.944341,1
-35.7284097,-8.473824,1
-41.9463938,-22.5273001,1
-40.0751547,-18.9057387,1
-60.3759279,-5.1244337,1
-63.7004152,-8.7958117,1
-58.2130166,-2.836772,1
-55.8629258,-1.7607276,1
-38.758604,-12.3961612,1
-60.5425293,-13.494663,1
-39.1423064,-13.8205223,1
-62.2546668,-10.9327023,1
-48.1512145,-2.4203332,1
