node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
521,522,3.045199509884,-6.87315084671555,-64.5344550053259,-7.24261600417908,-64.768221004235,3.045199509884,0,2018.1983330227,2021.24353253259,349200000
521,671,4.568967584654,-6.87315084671555,-64.5344550053259,-10.8210272053083,-63.2967993172446,4.568967584654,0,2018.1983330227,2022.76730060736,349200000
522,670,1.742965107089,-7.24261600417908,-64.768221004235,-7.26095314281433,-64.7909513415224,4.788164616973,3.045199509884,2021.24353253259,2022.98649763968,349200000
522,523,1.08712905447,-7.24261600417908,-64.768221004235,-8.94653042785745,-69.5420403379038,4.132328564354,3.045199509884,2021.24353253259,2022.33066158706,349200000
523,524,0.07300432359422,-8.94653042785745,-69.5420403379038,-8.94604650293028,-69.5427254400835,4.20533288794822,4.132328564354,2022.33066158706,2022.40366591065,349200000
523,547,0.09141756273457,-8.94653042785745,-69.5420403379038,-9.5816177463604,-67.560094729629,4.22374612708857,4.132328564354,2022.33066158706,2022.42207914979,349200000
524,24,0.4272798188184,-8.94604650293028,-69.5427254400835,-8.94574211143018,-69.5405778174448,4.63261270676662,4.20533288794822,2022.40366591065,2022.83094572947,349200000
524,525,0.4528014527173,-8.94604650293028,-69.5427254400835,-8.94321581929397,-69.535833662911,4.65813434066552,4.20533288794822,2022.40366591065,2022.85646736337,349200000
525,535,0.03462139119032,-8.94321581929397,-69.535833662911,-3.41421861667786,-65.8574303145995,4.69275573185584,4.65813434066552,2022.85646736337,2022.89108875456,349200000
525,526,0.004225316729299,-8.94321581929397,-69.535833662911,-8.95006716398134,-69.538657721552,4.66235965739482,4.65813434066552,2022.85646736337,2022.8606926801,349200000
526,10,0.1620338712896,-8.95006716398134,-69.538657721552,-8.95281274832587,-69.5438243549345,4.82439352868442,4.66235965739482,2022.8606926801,2023.02272655139,349200000
526,527,0.2085702338066,-8.95006716398134,-69.538657721552,-8.94699191674363,-69.5418968197247,4.87092989120142,4.66235965739482,2022.8606926801,2023.06926291391,349200000
527,528,0.004983042860704,-8.94699191674363,-69.5418968197247,-8.94780313458492,-69.5412875519252,4.87591293406212,4.87092989120142,2023.06926291391,2023.07424595677,349200000
527,532,0.03103888395906,-8.94699191674363,-69.5418968197247,-8.94677461694188,-69.5395890753108,4.90196877516048,4.87092989120142,2023.06926291391,2023.10030179786,349200000
528,5,0.01149429325237,-8.94780313458492,-69.5412875519252,-8.94667544432188,-69.5438434672602,4.88740722731449,4.87591293406212,2023.07424595677,2023.08574025002,349200000
528,529,0.04642400901671,-8.94780313458492,-69.5412875519252,-8.94507162870426,-69.5440457823111,4.92233694307883,4.87591293406212,2023.07424595677,2023.12066996578,349200000
529,4,0.0006867225919864,-8.94507162870426,-69.5440457823111,-8.94526120759962,-69.5440604461279,4.92302366567082,4.92233694307883,2023.12066996578,2023.12135668838,349200000
529,530,0.05457649770221,-8.94507162870426,-69.5440457823111,-8.94689411726661,-69.5375414315028,4.97691344078104,4.92233694307883,2023.12066996578,2023.17524646349,349200000
530,1,0.009123923519907,-8.94689411726661,-69.5375414315028,-8.94759801926786,-69.5373069828557,4.98603736430095,4.97691344078104,2023.17524646349,2023.18437038701,349200000
530,531,0.1025251330043,-8.94689411726661,-69.5375414315028,-8.94789652663874,-69.5360664482106,5.07943857378534,4.97691344078104,2023.17524646349,2023.27777159649,349200000
531,3,0.07920153024162,-8.94789652663874,-69.5360664482106,-8.94420679038753,-69.5378723098616,5.15864010402696,5.07943857378534,2023.27777159649,2023.35697312673,349200000
531,2,0.07920153024162,-8.94789652663874,-69.5360664482106,-10.8280293149093,-63.3047452285637,5.15864010402696,5.07943857378534,2023.27777159649,2023.35697312673,349200000
532,533,0.00794232766042,-8.94677461694188,-69.5395890753108,-8.94849538239304,-69.5418390622264,4.9099111028209,4.90196877516048,2023.10030179786,2023.10824412553,349200000
532,6,0.1224247535239,-8.94677461694188,-69.5395890753108,-8.94930331767395,-69.5427222396382,5.02439352868438,4.90196877516048,2023.10030179786,2023.22272655139,349200000
533,534,0.064520828365,-8.94849538239304,-69.5418390622264,-8.94900309423695,-69.5381073838526,4.9744319311859,4.9099111028209,2023.10824412553,2023.17276495389,349200000
533,7,0.08982489161707,-8.94849538239304,-69.5418390622264,-8.9438248011104,-69.5462186315209,4.99973599443797,4.9099111028209,2023.10824412553,2023.19806901714,349200000
534,9,0.008865707087698,-8.94900309423695,-69.5381073838526,-8.94771781409245,-69.5391143470644,4.9832976382736,4.9744319311859,2023.17276495389,2023.18163066098,349200000
534,8,0.008865707087698,-8.94900309423695,-69.5381073838526,-10.8266466889973,-63.305219814011,4.9832976382736,4.9744319311859,2023.17276495389,2023.18163066098,349200000
535,537,0.04788435869591,-3.41421861667786,-65.8574303145995,-3.41552309563646,-65.8557140326775,4.74064009055175,4.69275573185584,2022.89108875456,2022.93897311326,349200000
535,536,0.2240130781003,-3.41421861667786,-65.8574303145995,-3.42213807080149,-65.8623202649787,4.91676880995614,4.69275573185584,2022.89108875456,2023.11510183266,349200000
536,11,0.01173430776942,-3.42213807080149,-65.8623202649787,-3.41984819514002,-65.8607280784296,4.92850311772556,4.91676880995614,2023.11510183266,2023.12683614043,349200000
536,12,0.01173430776942,-3.42213807080149,-65.8623202649787,-7.2585810942007,-64.796765912109,4.92850311772556,4.91676880995614,2023.11510183266,2023.12683614043,349200000
537,538,0.05939112555704,-3.41552309563646,-65.8557140326775,-3.42008187461201,-65.85621042902,4.80003121610879,4.74064009055175,2022.93897311326,2022.99836423881,349200000
