time,elevation
2018.0325,166.287867269108
2018.0975,166.854931577986
2018.1625,164.464765570152
2018.2275,162.770122181562
2018.2925,162.007734611144
2018.3575,162.993066609724
2018.4225,162.776164425671
2018.4875,159.555565500565
2018.5525,156.468255737838
2018.6175,156.510934427876
2018.6825,154.527373862292
2018.7475,157.378377309213
2018.8125,159.028700028842
2018.8775,159.192713452608
2018.9425,161.71442566741
2019.0075,159.986761631089
2019.0725,155.994345738845
2019.1375,153.747383280916
2019.2025,150.396102481586
2019.2675,151.802644208382
2019.3325,150.275191493975
2019.3975,148.291188614391
2019.4625,147.004746111091
2019.5275,146.039412246386
2019.5925,145.329642585459
2019.6575,147.320293778741
2019.7225,145.8825795004
2019.7875,143.849649607152
2019.8525,141.827842522747
2019.9175,138.513784274866
2019.9825,139.262434091091
2020.0475,141.963366549276
2020.1125,139.512426399482
2020.1775,138.716613083101
2020.2425,139.932358046098
2020.3075,139.996817828359
2020.3725,138.524065583372
2020.4375,138.705156842897
2020.5025,136.945523097608
2020.5675,137.574897334107
2020.6325,136.924794835024
2020.6975,138.791322365685
2020.7625,138.011103849608
2020.8275,137.743859397793
2020.8925,137.451536278696
2020.9575,138.785400907061
2021.0225,140.758048804364
2021.0875,141.431987523143
2021.1525,142.005792999552
2021.2175,140.441898027236
2021.2825,139.611174152861
2021.3475,141.037799202804
2021.4125,141.304500822294
2021.4775,140.131161828997
2021.5425,139.831706385302
2021.6075,141.052357612107
2021.6725,143.66161747812
2021.7375,145.848655657287
2021.8025,145.081867235269
2021.8675,147.259551171835
2021.9325,149.241689773798
2021.9975,154.775528421542
2022.0625,157.979707501644
2022.1275,159.14472807047
2022.1925,163.530879526661
2022.2575,162.818889442715
2022.3225,165.032575874923
2022.3875,166.661805866548
2022.4525,165.432869596329
2022.5175,164.109235325613
2022.5825,161.613382361334
2022.6475,161.754872897667
2022.7125,172.179877332159
2022.7775,174.986192988451
2022.8425,141.533979281209
2022.9075,108.344653672813
2022.9725,85.4699085871842
2023.0375,150.194733022181
2023.1025,139.303480884498
2023.1675,235.72638820149
2023.2325,220.689554163703
2023.2975,165.699613205486
2023.3625,167.164540094455
2023.4275,68.8786732300705
2023.4925,70.4632275488572
2023.5575,77.6703988636691
2023.6225,99.1561542589118
2023.6875,129.929907745174
2023.7525,160.548528185789
2023.8175,180.140487161397
2023.8825,165.185462153533
2023.9475,75.8995717721183
2024.0125,142.703610921136
2024.0775,298.196437861617
2024.1425,434.580470713137
2024.2075,447.318053109868
2024.2725,419.872119300178
2024.3375,440.974497117786
2024.4025,NA
2024.4675,NA
