time,Brazil_precipitation_mean_2023_crop_mask
2018.0325,5.94826379856647
2018.0975,5.99827541679662
2018.1625,6.06706353021735
2018.2275,6.01331399494076
2018.2925,6.03578066607593
2018.3575,6.05849697932614
2018.4225,5.99500010902515
2018.4875,6.05083341777441
2018.5525,6.02980893476856
2018.6175,5.99219525444186
2018.6825,6.04595164710832
2018.7475,6.03330345922443
2018.8125,5.97488090114339
2018.8775,5.96787874613104
2018.9425,5.96341476429619
2019.0075,5.981185416909
2019.0725,5.95514995215683
2019.1375,5.93771969493186
2019.2025,5.99266550611654
2019.2675,5.97778147559341
2019.3325,6.02866848137767
2019.3975,6.02878545645249
2019.4625,6.01121335688398
2019.5275,6.00382637276442
2019.5925,5.99988886298744
2019.6575,6.00962464848122
2019.7225,6.02575297147583
2019.7875,6.01748363214829
2019.8525,6.00818126820012
2019.9175,6.00925661996388
2019.9825,6.01547004355074
2020.0475,6.04469309321574
2020.1125,6.03939531959981
2020.1775,6.0395713556811
2020.2425,6.04401742952384
2020.3075,6.08614958773332
2020.3725,6.13055584447967
2020.4375,6.14062075839947
2020.5025,6.16645580467913
2020.5675,6.16260030045329
2020.6325,6.13826865220682
2020.6975,6.134869353593
2020.7625,6.1508637496995
2020.8275,6.16894037425307
2020.8925,6.18494269694347
2020.9575,6.17608556957102
2021.0225,6.1853993230043
2021.0875,6.17533589722687
2021.1525,6.18382106896364
2021.2175,6.1760735877594
2021.2825,6.17695588788457
2021.3475,6.20052371840572
2021.4125,6.20975686915443
2021.4775,6.21222562142059
2021.5425,6.22264537021125
2021.6075,6.20429139972097
2021.6725,6.2360743273219
2021.7375,6.25490498813875
2021.8025,6.28857032250517
2021.8675,6.31547929375066
2021.9325,6.31738622724681
2021.9975,6.30411919984926
2022.0625,6.33336732394945
2022.1275,6.3275239892735
2022.1925,6.33171268862792
2022.2575,6.3374223913506
2022.3225,6.35054317486128
2022.3875,6.33909365887684
2022.4525,6.29602838623481
2022.5175,6.31227499331386
2022.5825,6.3088637590134
2022.6475,6.30837451252388
2022.7125,6.20074800146367
2022.7775,6.26276540650827
2022.8425,6.85605793700786
2022.9075,7.27685507769817
2022.9725,7.44076058689922
2023.0375,6.33025633887099
2023.1025,6.56664687683258
2023.1675,5.47086842766572
2023.2325,5.5952881455641
2023.2975,5.57029946064333
2023.3625,5.68274582266704
2023.4275,6.7538950121349
2023.4925,6.83428276146865
2023.5575,6.58683400961027
2023.6225,6.23578481623829
2023.6875,5.9612298658231
2023.7525,5.86125266639632
2023.8175,6.00358444528924
2023.8825,6.32239708410092
2023.9475,6.43452211750547
2024.0125,6.16054084021315
2024.0775,5.44040142582122
2024.1425,4.91926453440465
2024.2075,4.67469295253178
2024.2725,4.39650659338184
2024.3375,4.18111105292656
2024.4025,NA
2024.4675,NA
