time,cattle
2018.0325,1086.76904296875
2018.0975,1002.32568359375
2018.1625,792.752886962891
2018.2275,710.030917867025
2018.2925,495.983801705497
2018.3575,749.195709228516
2018.4225,735.082504272461
2018.4875,729.16092745463
2018.5525,648.848704020182
2018.6175,906.162830352783
2018.6825,738.485904693604
2018.7475,725.467628522353
2018.8125,642.123092651367
2018.8775,715.083488464355
2018.9425,792.131198120117
2019.0075,798.1001953125
2019.0725,743.785858154297
2019.1375,683.720084381104
2019.2025,681.822843933105
2019.2675,743.792959594727
2019.3325,743.185577392578
2019.3975,603.34857635498
2019.4625,713.128786722819
2019.5275,783.026653289795
2019.5925,780.209136962891
2019.6575,680.58701171875
2019.7225,780.209136962891
2019.7875,804.642547607422
2019.8525,782.298268636068
2019.9175,767.438413937887
2019.9825,802.810901125272
2020.0475,906.793060302734
2020.1125,914.508341471354
2020.1775,792.183856010437
2020.2425,895.730045586824
2020.3075,828.995719909668
2020.3725,797.62434387207
2020.4375,811.43036634922
2020.5025,809.020191383362
2020.5675,690.341399407387
2020.6325,786.724161624908
2020.6975,747.22785847187
2020.7625,912.987468465169
2020.8275,865.771294971307
2020.8925,837.322436523438
2020.9575,889.944142137255
2021.0225,881.554747986793
2021.0875,998.836315631866
2021.1525,907.620741494497
2021.2175,926.08603922526
2021.2825,944.582041422526
2021.3475,1001.69025240342
2021.4125,996.489224024614
2021.4775,1118.65673875809
2021.5425,1076.43192036947
2021.6075,1578.26134592692
2021.6725,1278.88993198342
2021.7375,1314.64391215188
2021.8025,1190.15493774414
2021.8675,1144.9960193634
2021.9325,1049.51679611206
2021.9975,1116.81405049562
2022.0625,1065.52699326334
2022.1275,1114.03482055664
2022.1925,1090.51424339839
2022.2575,986.237634023031
2022.3225,1143.15765589873
2022.3875,1153.05099318425
2022.4525,1115.36751773839
2022.5175,1165.5885387361
2022.5825,1223.54174455007
2022.6475,1298.14183040195
2022.7125,1369.43073934667
2022.7775,1397.51501202035
2022.8425,829.169612819364
2022.9075,659.769759792455
2022.9725,614.376565792067
2023.0375,1826.17742197226
2023.1025,1801.11007069188
2023.1675,3929.01719145477
2023.2325,3359.40019724076
2023.2975,2930.99744948483
2023.3625,2458.4541329708
2023.4275,576.854417095357
2023.4925,695.076027097124
2023.5575,1002.1352726435
2023.6225,1322.89446287609
2023.6875,1968.10571356824
2023.7525,2187.19740321205
2023.8175,1753.04205104041
2023.8825,1124.40622889043
2023.9475,571.490655920926
2024.0125,499.36712702112
2024.0775,1740.91470446054
2024.1425,2860.38422153251
2024.2075,2784.25517191904
2024.2725,2480.56736714912
2024.3375,2339.07982617333
2024.4025,NA
2024.4675,NA
