time,pop_2020_raw
2018.0325,36.7526472914847
2018.0975,34.810764996314
2018.1625,42.3098473323501
2018.2275,38.5497759086355
2018.2925,30.4759924705278
2018.3575,20.1230997304689
2018.4225,89.6311823167207
2018.4875,141.255266814221
2018.5525,113.51789188504
2018.6175,83.3487441761112
2018.6825,92.1791644294062
2018.7475,66.2662140508944
2018.8125,64.6794435119894
2018.8775,76.829503299668
2018.9425,79.9781261542211
2019.0075,111.469674875081
2019.0725,146.358769798431
2019.1375,139.739022655294
2019.2025,169.036117087555
2019.2675,190.733182199634
2019.3325,171.560520362201
2019.3975,153.241573206271
2019.4625,124.426257456326
2019.5275,102.082854843504
2019.5925,146.240681715071
2019.6575,164.610578540814
2019.7225,143.393847554329
2019.7875,114.33070123381
2019.8525,161.592778394737
2019.9175,122.730611193268
2019.9825,130.649722843899
2020.0475,86.6032838030552
2020.1125,80.0595777587871
2020.1775,64.2345138478144
2020.2425,69.8640328543674
2020.3075,54.330997236524
2020.3725,56.8169707953004
2020.4375,56.7008534783625
2020.5025,81.2189584764382
2020.5675,77.3731622352052
2020.6325,112.907254423373
2020.6975,83.6254660941502
2020.7625,54.5760966357894
2020.8275,83.7346986342968
2020.8925,58.5566904613336
2020.9575,65.5832401116151
2021.0225,83.8623049039191
2021.0875,53.2895680640232
2021.1525,61.7988684250056
2021.2175,44.2616275013338
2021.2825,54.289398240662
2021.3475,38.8522608437578
2021.4125,41.9974806849831
2021.4775,55.7010940441835
2021.5425,47.6123114103905
2021.6075,35.6166003431247
2021.6725,40.6026872318338
2021.7375,45.152552540302
2021.8025,33.1193730911227
2021.8675,44.6110134799666
2021.9325,61.6522183498512
2021.9975,65.0324043209392
2022.0625,60.4998013865724
2022.1275,66.7862038001802
2022.1925,57.0355260642592
2022.2575,62.7546959685405
2022.3225,105.740757091608
2022.3875,84.543199560081
2022.4525,58.7357179685723
2022.5175,49.7024589118962
2022.5825,59.1794758578022
2022.6475,45.1885697570195
2022.7125,55.2235470309254
2022.7775,54.8229292778225
2022.8425,82.2073035020717
2022.9075,107.652793736646
2022.9725,83.4338325377786
2023.0375,28.7993257154783
2023.1025,40.7029873256102
2023.1675,54.8452752705688
2023.2325,29.6167864033734
2023.2975,27.0207951095614
2023.3625,53.9802509243499
2023.4275,1911.85447813133
2023.4925,2308.47433022463
2023.5575,2791.56369401385
2023.6225,2562.21686979506
2023.6875,2188.25546524522
2023.7525,1265.31364890875
2023.8175,670.594583349026
2023.8825,1427.72415757588
2023.9475,1684.2830668842
2024.0125,686.174999043399
2024.0775,211.227038928995
2024.1425,149.105106761721
2024.2075,473.207474163653
2024.2725,910.684281078032
2024.3375,1514.23078449468
2024.4025,NA
2024.4675,NA
