node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
521,527,0.8317899985676,-3.36819569728266,-65.8152566143848,-3.37506520366705,-65.8710369142339,0.8317899985676,0,2018.73823356666,2019.57002356523,257600000
521,522,4.16441765219,-3.36819569728266,-65.8152566143848,-3.41317598152845,-65.8557415573518,4.16441765219,0,2018.73823356666,2022.90265121885,257600000
522,523,0.08130679943329,-3.41317598152845,-65.8557415573518,-5.81312920800423,-61.3061282895753,4.24572445162329,4.16441765219,2022.90265121885,2022.98395801829,257600000
522,525,0.07490659246307,-3.41317598152845,-65.8557415573518,-3.41926148606625,-65.8597927281888,4.23932424465307,4.16441765219,2022.90265121885,2022.97755781132,257600000
523,3,0.02506990296492,-5.81312920800423,-61.3061282895753,-5.81598827554344,-61.3065540498858,4.27079435458821,4.24572445162329,2022.98395801829,2023.00902792125,257600000
523,524,0.1003476282075,-5.81312920800423,-61.3061282895753,-5.80639097346515,-61.3005144060811,4.34607207983079,4.24572445162329,2022.98395801829,2023.08430564649,257600000
524,1,0.03431131585327,-5.80639097346515,-61.3005144060811,-3.42084056556978,-65.8517723838193,4.38038339568406,4.34607207983079,2023.08430564649,2023.11861696235,257600000
524,2,0.03431131585327,-5.80639097346515,-61.3005144060811,-5.81056973805931,-61.2983317654379,4.38038339568406,4.34607207983079,2023.08430564649,2023.11861696235,257600000
525,4,0.03147010993514,-3.41926148606625,-65.8597927281888,-3.41562516308275,-65.8600779280539,4.27079435458821,4.23932424465307,2022.97755781132,2023.00902792125,257600000
525,526,0.07583978562812,-3.41926148606625,-65.8597927281888,-3.40916759220023,-65.8540446699567,4.31516403028119,4.23932424465307,2022.97755781132,2023.05339759694,257600000
526,6,0.07069881745763,-3.40916759220023,-65.8540446699567,-5.80723453256672,-61.307035716606,4.38586284773882,4.31516403028119,2023.05339759694,2023.1240964144,257600000
526,5,0.07069881745763,-3.40916759220023,-65.8540446699567,-3.41381729730045,-65.8565387636602,4.38586284773882,4.31516403028119,2023.05339759694,2023.1240964144,257600000
527,529,2.427352736145,-3.37506520366705,-65.8710369142339,-8.94921082833516,-69.5288876205244,3.2591427347126,0.8317899985676,2019.57002356523,2021.99737630138,257600000
527,528,3.359096017599,-3.37506520366705,-65.8710369142339,-3.41424509683202,-65.8600589444543,4.1908860161666,0.8317899985676,2019.57002356523,2022.92911958283,257600000
528,8,0.04977135212019,-3.41424509683202,-65.8600589444543,-3.41893110090908,-65.8610951792353,4.24065736828679,4.1908860161666,2022.92911958283,2022.97889093495,257600000
528,7,0.04977135212019,-3.41424509683202,-65.8600589444543,-3.10142429130255,-60.0224562843579,4.24065736828679,4.1908860161666,2022.92911958283,2022.97889093495,257600000
529,538,0.4696406632541,-8.94921082833516,-69.5288876205244,-8.95258662171936,-69.5427520558583,3.7287833979667,3.2591427347126,2021.99737630138,2022.46701696463,257600000
529,530,0.4317053046323,-8.94921082833516,-69.5288876205244,-8.97033886978258,-69.5413872109536,3.6908480393449,3.2591427347126,2021.99737630138,2022.42908160601,257600000
530,531,0.523138487759,-8.97033886978258,-69.5413872109536,-8.95862630347332,-69.5421637161355,4.2139865271039,3.6908480393449,2022.42908160601,2022.95222009377,257600000
530,9,0.6566586440103,-8.97033886978258,-69.5413872109536,-8.9445645623386,-69.5408591452855,4.3475066833552,3.6908480393449,2022.42908160601,2023.08574025002,257600000
531,532,0.008381413776427,-8.95862630347332,-69.5421637161355,-8.9579772656788,-69.5408996377276,4.22236794088033,4.2139865271039,2022.95222009377,2022.96060150754,257600000
531,537,0.1425092709572,-8.95862630347332,-69.5421637161355,-8.95193879409262,-69.5383939764801,4.3564957980611,4.2139865271039,2022.95222009377,2023.09472936472,257600000
532,534,0.159405107908,-8.9579772656788,-69.5408996377276,-8.95344703704092,-69.5427866915747,4.38177304878833,4.22236794088033,2022.96060150754,2023.12000661545,257600000
532,533,0.06903757396551,-8.9579772656788,-69.5408996377276,-8.95329629982548,-69.5454901388159,4.29140551484584,4.22236794088033,2022.96060150754,2023.02963908151,257600000
