mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
1113.82327499928	537.942666829742	11.4257148247624	404535.14879181	179610.765273042	24.1448142482127	0.829717158906685	0.757624393888891	0.684887883469243
2463.02919063854	605.810670951923	19.7993481411287	1451243.91451829	246505.689955909	28.8748918356618	0.81198513932352	0.758818898266805	0.68882449491389
1592.20098145356	502.96905238268	12.015274911864	549548.31727852	166348.440644281	22.083076013908	0.823428911865215	0.720263119767671	0.688730799986885
1268.02220190012	562.602627515754	16.183344973362	623913.826456409	193241.084985545	27.720854426989	0.775492475125603	0.72228693126036	0.689867208345651
894.404739867067	523.38738358881	10.8163164359748	301790.600486617	174217.792790624	21.0539545948755	0.776611674620479	0.472452412205824	0.47261747846682
1339.61493894018	535.196561884806	10.1346054595047	334385.898968855	177038.356287649	16.9142457950035	0.815174340504493	0.732341192031638	0.68529946730376
1485.55803979507	488.635356785694	12.7252279259234	576696.705457126	167961.870881402	25.5865914518232	0.781123557082976	0.385987927160296	0.44445374913101
2034.58370726475	558.561477382219	16.3387782826124	998935.269549734	184632.804742938	27.5993784582737	0.779284581451561	0.354843993739687	0.41802031528909
762.232252611892	508.747959968168	11.4722566815852	261821.474648657	171602.549559087	24.6195061692776	0.815532149084171	0.759766556375021	0.687403843210964
11386.0807987352	616.868101276174	28.8502794635929	9300781.13848443	207872.070784778	30.778205628851	0.830826290219894	0.763394607862342	0.683034809208485
3112.70160939655	533.563604042102	23.1340571748389	2114986.07891062	180524.06885344	29.5702081281534	0.825925275842749	0.800918645076238	0.685686870003344
1153.25938725468	495.921658524466	9.88504380635557	363242.690217747	175502.758216604	17.8458749777704	0.62968487231883	0.190641766995579	0.334058253928531
856.988853160664	560.800630311314	8.72296432683997	229883.240749238	185772.266444239	19.5321066182972	0.77298682998011	0.279414621153424	0.35341981571737
1538.00610664832	610.08931819611	11.1521331603759	452996.728843964	204356.922657703	19.0834097796586	0.80895486814497	0.70666419291222	0.685713228433307
1431.48128161563	547.691914061187	11.8627222617169	527910.065098401	191872.657671428	19.5005179356548	0.794270177132757	0.352094740315085	0.410346848650544
4152.54333804347	555.456639246778	19.3215808226687	1985822.13715853	186814.231701606	23.3841007084037	0.833316543313911	0.749771069635737	0.685857580477723
944.634039091223	490.720280291318	13.0767929258421	384337.118654051	162231.971165307	26.5848791909753	0.818490833938443	0.759578201747193	0.689651213827682
1065.14062823263	565.096010644407	10.4178273681152	352569.637175735	190055.246617057	22.6215129162411	0.739961387125136	0.255687450398256	0.374661409683207
2217.71026842609	646.827184267256	16.3640306231974	1106450.19984422	284621.887278192	26.6737736511408	0.772036428229352	0.753723030395604	0.698307465639096
980.509952418475	626.079048432011	9.79427082041665	277081.58708603	217925.437103943	16.7009114652544	0.706475264502321	0.206450648074141	0.313135819664533
1448.29107444356	519.384502714925	12.2862392086078	505267.463337869	172717.606567511	26.2736633772318	0.812518731634034	0.721648014028318	0.689614920985201
1520.97297689021	476.466896645878	15.783437712352	754604.59554151	161849.424855105	25.7290521899899	0.815529164488861	0.719123465800891	0.687294922431816
770.68125282179	553.947080341907	9.15100897136828	235396.660124992	186841.139595539	21.3971418742189	0.819073425859374	0.716935573911677	0.692564754219136
1125.8744920688	472.587849569695	10.4542591665296	298016.052520525	161992.024094583	20.2924892534148	0.826920108157769	0.71650813785999	0.685096787236693
2108.35064526701	579.397614993965	14.1338751418222	1087434.40452111	228973.934619067	21.8932478614358	0.820263150488362	0.736059624334272	0.690241705204831
1043.46709114224	627.62417613695	9.24648441916335	242584.594006807	253227.767375014	18.3327924623284	0.831754285035713	0.710094950096925	0.689288196556904
961.24821157126	511.69742462104	10.562620832863	319073.851294079	169940.904443872	19.2398418126508	0.820610749592498	0.718562789319316	0.690923765831612
1858.30796590243	586.153238670457	16.28208768357	861250.800749323	212966.420292066	28.8514483879975	0.806105280862544	0.418528442647783	0.463436069579938
3634.73330668078	567.942811508039	19.0702563816665	1172305.51834763	188810.801457359	23.7269821122176	0.837570374278989	0.803651216579965	0.679814194754757
1738.40218705003	636.509472010126	20.5984995035971	1106230.51832021	268351.759724542	28.1628645224853	0.756833092893608	0.356027502114769	0.405968336153689
1216.74427407304	581.353884624064	11.8497466512147	351121.730597709	230938.766375679	17.3305429000469	0.821088102029071	0.726917738937413	0.686682591219982
1365.16014161256	642.598747413888	12.6761630446798	457982.485704894	219519.676141544	18.7693726141425	0.825436146573532	0.766812819062292	0.684288341664972
1165.07022754093	564.45262526628	10.0503043446484	360873.641986511	224696.171563394	20.5450842319526	0.828973398591203	0.714752263324397	0.69296756288753
