time	diffusion_coefficient	number_of_branches
2019.11924203071	3570.66347477853	0.45
2019.15732754321	7776.08163015287	0.38
2019.19541305571	12238.923246311	0.33
2019.23349856822	17383.9891416209	0.31
2019.27158408072	17711.3525312081	0.37
2019.30966959323	12542.3103338174	0.32
2019.34775510573	13387.3928060473	0.35
2019.38584061823	9192.87733196258	0.44
2019.42392613074	6517.3775264133	0.48
2019.46201164324	5920.10623388896	0.41
2019.50009715575	4223.99907903138	0.38
2019.53818266825	1994.86272692792	0.34
2019.57626818075	1595.34777951803	0.35
2019.61435369326	1903.79965468181	0.26
2019.65243920576	2780.55447998193	0.27
2019.69052471827	3821.64484737431	0.28
2019.72861023077	3817.78070812133	0.19
2019.76669574327	3559.42709703601	0.26
2019.80478125578	3717.63181102257	0.31
2019.84286676828	308.698450285744	0.27
2019.88095228079	394.518496331722	0.33
2019.91903779329	539.024429675522	0.36
2019.95712330579	755.839708111926	0.36
2019.9952088183	1009.89684813705	0.33
2020.0332943308	1082.77944745557	0.34
2020.07137984331	1243.93943780635	0.31
2020.10946535581	3704.9030529038	0.3
2020.14755086831	3049.73838858938	0.31
2020.18563638082	2451.45572397048	0.27
2020.22372189332	4172.60440550777	0.32
2020.26180740583	2442.61661984157	0.38
2020.29989291833	1905.77685576362	0.38
2020.33797843083	1460.23615044435	0.36
2020.37606394334	1542.09046816504	0.35
2020.41414945584	1731.56522358633	0.32
2020.45223496835	1792.61369117232	0.32
2020.49032048085	1609.7852894237	0.13
2020.52840599335	521.03862511497	0.13
2020.56649150586	772.55019495061	0.14
2020.60457701836	533.551464532504	0.13
2020.64266253086	800.528146089842	0.13
2020.68074804337	1067.4873698544	0.13
2020.71883355587	1334.42856511162	0.13
2020.75691906838	1364.69233711804	0.13
2020.79500458088	914.85143700105	0.13
2020.83309009338	935.870598961831	0.08
2020.87117560589	1205.28956425098	0.11
2020.90926111839	1933.07694521576	0.11
2020.9473466309	3394.1948585777	0.2
2020.9854321434	4220.86195348682	0.22
2021.0235176559	5658.65049356465	0.22
2021.06160316841	6984.78678501586	0.19
2021.09968868091	8478.11531373096	0.19
2021.13777419342	7646.37405659691	0.21
2021.17585970592	2721.95227175847	0.15
2021.21394521842	4146.58867275126	0.18
2021.25203073093	3413.47587429746	0.15
2021.29011624343	4130.09541484092	0.15
2021.32820175594	4168.23512339716	0.18
2021.36628726844	3041.06569585415	0.15
2021.40437278094	9810.1767158519	0.21
2021.44245829345	11280.0202168474	0.15
2021.48054380595	10478.7511527173	0.15
2021.51862931846	6699.17420726086	0.21
2021.55671483096	5577.70018348266	0.21
2021.59480034346	3382.8288405099	0.21
2021.63288585597	1892.39564717254	0.27
2021.67097136847	2123.08962623497	0.21
2021.70905688098	2309.18496400514	0.27
2021.74714239348	1337.65335596358	0.24
2021.78522790598	2284.35597343057	0.21
2021.82331341849	3812.49401935844	0.18
2021.86139893099	4072.16884440698	0.21
2021.8994844435	4654.18430279309	0.24
2021.937569956	2139.51177843825	0.32
2021.9756554685	6995.90984881059	0.38
2022.01374098101	18938.8883797655	0.49
2022.05182649351	33025.8577857437	0.61
2022.08991200602	55652.2108775234	0.66
2022.12799751852	59376.9229437382	0.62
2022.16608303102	63149.410599252	0.65
2022.20416854353	56845.8129226309	0.69
2022.24225405603	45367.0363773338	0.82
2022.28033956853	41363.1376734583	0.83
2022.31842508104	31065.7144525964	1.04
2022.35651059354	12866.8420392896	1.43
2022.39459610605	26293.9133931393	1.89
2022.43268161855	27825.0360480501	2.32
2022.47076713105	34009.7637644693	2.7
2022.50885264356	34329.3318284658	3.48
2022.54693815606	41483.7286628901	4.13
2022.58502366857	57250.8766585146	5.27
2022.62310918107	123869.627633145	6.46
2022.66119469357	203684.676664392	8.96
2022.69928020608	346744.666138532	13.1
2022.73736571858	299159.849807886	16.08
2022.77545123109	279523.497839344	17.91
2022.81353674359	248515.234300498	21.86
2022.85162225609	324225.201879141	28.79
2022.8897077686	825690.748764057	39.82
2022.9277932811	926013.20353172	50.02
2022.96587879361	1158193.38204612	57.35
2023.00396430611	2185181.82346567	72.57
2023.04204981861	2008421.89601615	88.33
2023.08013533112	2158850.32070203	101.44
2023.11822084362	1971447.68322875	102.3
2023.15630635613	2160154.79004964	93.96
2023.19439186863	2041492.90724567	86.11
2023.23247738113	2003461.62484282	78.04
2023.27056289364	1336903.03197787	59.41
2023.30864840614	716740.384401473	40.04
2023.34673391865	823170.235908102	22.82
2023.38481943115	699015.012944002	10.75
2023.42290494365	758644.257239338	8.33
