state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	Location.precision.col11	Location.precision.col12	Location.precision.col21	Location.precision.col22	correlation	Location.varCovar.Location.precision.col11	Location.varCovar.Location.precision.col12	Location.varCovar.Location.precision.col21	Location.varCovar.Location.precision.col22	Location.diffusionRate	treeLikelihood	branchRates	Location.traitLikelihood	coalescent	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3
2200000	-6750.439958666824	-7893.604582842513	1143.164624175689	7.574090491492639	2016.781100765338	30.11062867205866	0.394130412756563	11.090291211528667	0.2835850513128968	0.22810396277180128	0.2411669322093728	0.2471440537059399	1.3111695730973096	0.3375643034754609	0.017759275856106177	0.02704437199190801	0.008301719601058242	1.5165498206363635	-0.0724797346644011	129.28586118147697	-7.061546674536611	-7.061546674536611	108.43563536961497	0.059640091822179386	0.007762408266224777	5.05503639019713E-4	5.05503639019713E-4	0.009254980008373692	584.23936440325	-2558.1140245524894	-6718.259484339178	3701.2786487281783	-38.17776789702426	3892.8785585827763	3265.0651514332267	-212.62760976738258
2400000	-6668.694748375425	-7897.308185987319	1228.6134376118948	7.419934867167217	2016.9352563896632	29.98739826853606	0.3761797045889687	14.299858053106602	0.24922348506883238	0.23868002187773477	0.23970371161582205	0.27239278143762136	0.87031278627285	0.379384290333828	0.02217170782201581	0.05961123119005104	0.008281848949691691	2.2944918134599086	-0.022538742371183394	126.53037977520138	3.0565322680174676	3.0565322680174676	119.86338744119315	-0.02481923011653223	0.007908111677559384	-2.0165789602271064E-4	-2.0165789602271062E-4	0.00834797343231445	586.5395694228753	-2509.040401126618	-6718.259484339178	3737.6538387385126	-34.64729130111249	3794.316891388084	3594.3911370149026	91.65745044167161
2600000	-6777.500078306433	-7971.677272933996	1194.1771946275626	6.708885018180363	2017.6463062386501	28.4865954483818	0.3836345840989435	13.4048711257794	0.2948342658501472	0.19949159542288644	0.24052849320573233	0.26514564552124475	0.5213410469633085	0.009746244772364417	0.017943662116061493	0.024048563514552104	0.009542943088511781	1.306574703737499	0.09192618544298534	120.19614182472377	-14.035741477249964	-14.035741477249964	124.21051207784589	0.11487113720755823	0.008430984631115503	9.526981146880806E-4	9.526981146880805E-4	0.008158502911641805	622.0880026008423	-2534.676124399948	-6718.259484339178	3728.8533190275107	-57.995230635433856	3423.9788666172294	3538.3346079979374	-399.83048928049243
2800000	-6790.657408448675	-7957.329823460573	1166.672415011898	7.790513135946741	2016.5646781208839	29.52130031378779	0.3924088654098222	20.66719981075414	0.29087200502018834	0.1975902907754492	0.25616166067383966	0.2553760435305335	0.986246462150443	0.19189283388938744	0.020352513209792675	0.03890253420153437	0.008308374301080624	1.6696413156872023	0.02446472879536167	111.99024358438085	-9.490187342682674	-9.490187342682674	99.85948512926109	0.08974081924320598	0.009001844860986308	8.554940379468536E-4	8.554940379468535E-4	0.010095373487913789	608.1619145371487	-2522.9577026370325	-6718.259484339178	3689.6301176489305	-18.19508917595992	3306.0976130687536	2947.9818496811426	-280.16267057744295
3000000	-6683.776021986911	-7927.703428597031	1243.9274066101211	8.253316920357182	2016.1018743364732	30.495229390576036	0.3785526241753736	21.514617090934912	0.25203846405415864	0.23238108396780488	0.2513426964391742	0.2642377555388729	1.0344644503147045	0.34052122402327273	0.02521645679873019	0.06636733005122544	0.008500079400315325	2.499186226778479	-0.0026975208969893315	114.61452124394118	-8.269095253939708	-8.269095253939708	104.46518841874058	0.07557051405329904	0.008775011171487193	6.945988834151712E-4	6.945988834151711E-4	0.009627548847169976	595.1897887084084	-2503.198188646164	-6718.259484339178	3747.125595256285	10.664168680497687	3495.1961168250364	3185.689884159241	-252.16795662141502
3200000	-6591.297584178147	-7842.832405241977	1251.5348210638294	7.748411169361698	2016.606780087469	29.15847911206556	0.37866709653395453	19.905149127415672	0.25452125079992055	0.19843801013946488	0.2513728017821795	0.29566793727844576	0.647421723624828	0.1783904001999171	0.02431671556391586	0.05044036929651662	0.009432064183271346	1.8005837891806797	-0.027158387217009028	142.66213351793002	-7.767060201255206	-7.767060201255206	121.03300668736618	0.05910856322980813	0.00703414457006393	4.5140268622048457E-4	4.514026862204846E-4	0.008291176921936552	632.5463701702334	-2502.6963887030147	-6718.259484339178	3754.231209766844	-8.858363665429842	4159.810840265271	3529.138397364058	-226.47566264045565
3400000	-6639.4796522659035	-7883.762947614745	1244.2832953488414	7.741531639089423	2016.6136596177412	30.19085582273799	0.4045152548202229	12.226964554466305	0.2590679753330725	0.22074776190383166	0.24125811152709414	0.2789261512360123	0.47540535339733386	0.06820676323944948	0.02054779462479161	0.04741228260690534	0.008123442072987309	1.797511147132747	-0.014524728762479178	129.38224028763676	-13.268975797752908	-13.268975797752908	129.86210191000112	0.10236673569382897	0.0078108859264992185	7.980962481999151E-4	7.980962481999152E-4	0.007782023430531069	581.8502113737756	-2539.3823674955493	-6718.259484339178	3783.6656628443907	-43.1873440622849	3906.160562546884	3920.6479956025514	-400.60173522535786
3600000	-6697.611263593646	-7861.535878098134	1163.9246145044885	7.076231658898657	2017.2789595979318	29.04475278054035	0.40271175833127404	12.992555064431725	0.2747518221993494	0.19115314324023092	0.26442279367483784	0.2696722408855924	0.5495750893770484	0.05711215675027175	0.020966692950371943	0.033751192922217205	0.00966065368393248	1.5261812330809388	0.010543832642762131	119.97167248111705	-1.0772732775887266	-1.0772732775887266	121.28656159734555	0.00893059075630977	0.008335965825350176	7.404046341387203E-5	7.404046341387203E-5	0.008245594142018975	605.2319388119749	-2548.2499142697166	-6718.259484339178	3712.174528774205	-24.674363737756185	3484.5475678820007	3522.7381971966806	-31.289136024646982
3800000	-6731.798800115136	-7878.450195068522	1146.6513949533855	7.361910886112894	2016.9932803707177	29.049357255254954	0.41169949949066936	16.26743839021633	0.2838156145268113	0.2122835229049228	0.23167131665889615	0.27222954590938037	0.671558645363021	0.2697066284767397	0.01613977011412922	0.024299559853411656	0.0073041623105123	1.5243194581966082	-0.021092267883182067	112.37966236127863	-10.230732902942002	-10.230732902942002	126.59555701728108	0.08577360293463139	0.008964359013411529	7.244485104621386E-4	7.244485104621386E-4	0.007957717181772456	616.6209178934174	-2548.392740912851	-6718.259484339178	3695.0441358662365	-26.756880681052845	3264.5569601577117	3677.5195627229964	-297.1962150806538
4000000	-6796.2280642389715	-8007.025788019491	1210.7977237805198	7.943979394249799	2016.4112118625808	30.56334598337313	0.40825803480569334	18.88748093085219	0.2806890450309707	0.21852906138554445	0.23445055038195517	0.26633134320153984	0.7895855416352715	0.1618089675140051	0.02367721478060544	0.0622003454148034	0.008485475676864822	1.7304232702317852	0.012722546624386337	114.2929799264654	2.855782665217713	2.855782665217713	129.94107918144053	-0.023433768775695026	0.008754251082480036	-1.923967281617026E-4	-1.9239672816170263E-4	0.007700024115114763	507.91667465140455	-2541.891744967319	-6718.259484339178	3752.689468747839	-68.73785147804338	3493.175888963282	3971.43416047525	87.2822736503684
4200000	-6534.529018441779	-7753.213161423269	1218.6841429814904	6.645281075180524	2017.70991018165	27.410611078726568	0.4101047149497587	19.078242551642568	0.2648259797477559	0.20446695571124743	0.2578117812935382	0.2728952832474689	0.8055581200229505	0.1091001295242486	0.021869014401308052	0.04846377362722741	0.00898632659212437	2.0272777148777097	0.05738830386071926	142.61698446162515	-7.372745666173207	-7.372745666173207	134.4080439864994	0.053251395996828	0.007031727525909473	3.857145532715831E-4	3.857145532715831E-4	0.0074611886726195014	564.9531120235564	-2511.957292950954	-6718.259484339178	3730.6414359324444	-8.92060598651863	3909.218694298397	3684.2066195663083	-202.0914640378406
4400000	-6666.879071689813	-7854.9397003233735	1188.06062863356	6.331592334115864	2018.0235989227147	26.63036477204187	0.3387453999559805	20.652358001029523	0.27555721988511045	0.204735925456743	0.2416585168099543	0.2780483378482026	0.9812665078927437	0.4454817144467106	0.01808293575780437	0.031502278741174866	0.008762711519226501	1.5728106934736605	-0.007423864176844493	123.95797769062284	-15.579171871531566	-15.579171871531566	124.26165085622694	0.12552740991177513	0.008196401810197875	0.001027615130246004	0.0010276151302460043	0.008176371275699779	601.0848162113751	-2529.2051157055917	-6718.259484339178	3717.2657443391518	-0.6980972865402613	3301.0461623059145	3309.133089477432	-414.8790297852198
4600000	-6625.395300234954	-7836.578030610851	1211.1827303758964	6.974530904112174	2017.3806603527182	26.253288876517797	0.3101050811839057	16.79900361779397	0.2720456718834978	0.22610376029995166	0.24922247737391315	0.25262809044264783	0.6598718534044077	0.24033724479793703	0.021682265702745892	0.03524756364297327	0.009432058981122083	1.509840291409969	5.940738633500237E-4	117.36199545556651	-11.642562016355244	-11.642562016355244	125.9480180950762	0.09576110493564664	0.008599504941536433	7.949332677566396E-4	7.949332677566396E-4	0.00801326670425929	627.2205432464692	-2533.971130100351	-6718.259484339178	3745.1538604762472	92.6276771589412	3081.1383698195564	3306.549702474926	-305.65554387814774
