,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,99
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,Inf,0,24,0
Herbaceous_vegetation,0.3,3,1,1
Cultivated_managed_vegetation,0.4,2.4,0.6,1.6
Regularly_flooded_vegetation,1.6,0.6,2.1,0.5
A_aegypti,0,Inf,0,Inf
Deciduous_broadleaf_trees,2.1,0.5,1.8,0.6
Evergreen_broadleaf_trees,Inf,0,49,0
Mixed_trees,2.1,0.5,2,0.5
Grasslands,0.3,3.5,0.4,2.2
Shrublands,0.1,19,0.3,3.8
Savannas,0.2,4.9,0.7,1.4
Woody_savannas,1.6,0.6,1.2,0.9
Cropland_&_natural_vegetation,1.5,0.7,1.2,0.9
Croplands_2019,6.1,0.2,7.3,0.1
Banana_harvested_area,0,32.3,0.1,19
Cassava_harvested_area,0.2,4.3,0.2,4.6
Cocoa_harvested_area,0.1,11.5,0,99
Coffee_harvested_area,1.2,0.9,0.3,3
Maize_harvested_area,0.5,1.9,0.7,1.4
Soybean_harvested_area,3.8,0.3,5.7,0.2
Sugarcane_harvested_area,0.8,1.3,0.4,2.7
Cattle_production,1.8,0.6,1.9,0.5
Forest_loss_2020-2023,2.1,0.5,1.9,0.5
Waterbodies,0.1,19,0.1,15.7
Precipitation_mean_2023,1.5,0.7,1.4,0.7
Annual_mean_temperature_2020,0,24,0.3,3.8
