,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,Inf
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,13.3,0.1,6.7,0.1
Herbaceous_vegetation,0.6,1.6,0.9,1.1
Cultivated_managed_vegetation,0.5,1.9,0.6,1.6
Regularly_flooded_vegetation,1.1,0.9,0.9,1.2
A_aegypti,0,49,0,99
Deciduous_broadleaf_trees,2,0.5,1.6,0.6
Evergreen_broadleaf_trees,Inf,0,49,0
Mixed_trees,2.3,0.4,1.9,0.5
Grasslands,0.8,1.3,1.2,0.9
Shrublands,0,24,0.1,9
Savannas,0.2,4.6,0.6,1.7
Woody_savannas,1.5,0.7,1.2,0.9
Cropland_&_natural_vegetation,1.9,0.5,1.2,0.8
Croplands_2019,6.1,0.2,7.3,0.1
Banana_harvested_area,0,32.3,0,24
Cassava_harvested_area,0.2,5.2,0.2,5.2
Cocoa_harvested_area,0.1,11.5,0,99
Coffee_harvested_area,1,1,0.3,3.5
Maize_harvested_area,0.6,1.6,0.7,1.5
Soybean_harvested_area,3.5,0.3,6.1,0.2
Sugarcane_harvested_area,0.7,1.4,0.4,2.8
Cattle_production,1.6,0.6,1.6,0.6
Forest_loss_2020-2023,3.2,0.3,2.4,0.4
Waterbodies,0.1,11.5,0.1,10.1
Precipitation_mean_2023,1.9,0.5,3.5,0.3
Annual_mean_temperature_2020,0.4,2.3,1.9,0.5
