,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,Inf
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,32.3,0,19,0.1
Herbaceous_vegetation,0.5,2.1,0.7,1.4
Cultivated_managed_vegetation,0.2,4,0.3,3
Regularly_flooded_vegetation,1.3,0.8,1.3,0.8
A_aegypti,0,Inf,0,Inf
Deciduous_broadleaf_trees,0.9,1.1,1.7,0.6
Evergreen_broadleaf_trees,Inf,0,49,0
Mixed_trees,1.3,0.8,1.9,0.5
Grasslands,0.2,4.3,0.5,2
Shrublands,0.1,10.1,0.2,6.1
Savannas,0.4,2.6,0.9,1.2
Woody_savannas,0.4,2.3,1.4,0.7
Cropland_&_natural_vegetation,0.5,1.9,0.5,1.9
Croplands_2019,3.5,0.3,3.8,0.3
Banana_harvested_area,0.1,15.7,0.1,13.3
Cassava_harvested_area,0.2,5.2,0.2,5.2
Cocoa_harvested_area,0.1,19,0,Inf
Coffee_harvested_area,0.4,2.2,0.3,3.3
Maize_harvested_area,0.2,4.9,0.3,3.2
Soybean_harvested_area,7.3,0.1,3.8,0.3
Sugarcane_harvested_area,0.3,3.3,0.3,3.2
Cattle_production,1.6,0.6,1.1,0.9
Forest_loss_2020-2023,1.9,0.5,2,0.5
Waterbodies,0.1,9,0.1,19
Precipitation_mean_2023,2.2,0.4,1.4,0.7
Annual_mean_temperature_2020,0.1,6.7,0.2,4.3
