,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,49
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,10.1,0.1,9,0.1
Herbaceous_vegetation,0.2,4.6,0.3,3.3
Cultivated_managed_vegetation,0.2,5.2,0.4,2.8
Regularly_flooded_vegetation,0.7,1.5,0.8,1.3
A_aegypti,0.2,6.1,0.2,5.7
Deciduous_broadleaf_trees,0.3,3.5,0.3,3.2
Evergreen_broadleaf_trees,Inf,0,Inf,0
Mixed_trees,0.8,1.2,1,1
Grasslands,0,32.3,0.1,8.1
Shrublands,0.1,6.7,0.2,4.3
Savannas,0.4,2.3,0.3,3
Woody_savannas,0.7,1.4,0.9,1.1
Cropland_&_natural_vegetation,0.3,3.2,0.4,2.8
Croplands_2019,0.6,1.6,0.5,2
Banana_harvested_area,0,24,0.1,13.3
Cassava_harvested_area,0.2,6.1,0.2,5.7
Cocoa_harvested_area,0,24,0.1,19
Coffee_harvested_area,0.2,5.2,0.1,11.5
Maize_harvested_area,0.1,10.1,0.2,6.1
Soybean_harvested_area,0.6,1.8,0.3,3
Sugarcane_harvested_area,0.3,3.8,0.4,2.6
Cattle_production,0.4,2.8,0.4,2.8
Forest_loss_2020-2023,0.9,1.1,0.8,1.3
Waterbodies,0.1,8.1,0.1,6.7
Precipitation_mean_2023,1.4,0.7,1.8,0.6
Annual_mean_temperature_2020,0,Inf,0,Inf
