,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,Inf
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,15.7,0.1,24,0
Herbaceous_vegetation,0.3,3,0.4,2.3
Cultivated_managed_vegetation,0.3,3.2,0.3,3.2
Regularly_flooded_vegetation,1.3,0.8,1.1,0.9
A_aegypti,0.1,19,0,32.3
Deciduous_broadleaf_trees,0.2,4,0.4,2.3
Evergreen_broadleaf_trees,Inf,0,49,0
Mixed_trees,1.7,0.6,1.6,0.6
Grasslands,0.1,13.3,0.2,6.1
Shrublands,0.2,6.1,0.3,3.8
Savannas,0.6,1.7,0.8,1.3
Woody_savannas,0.6,1.6,1.8,0.6
Cropland_&_natural_vegetation,0.4,2.8,0.4,2.4
Croplands_2019,0.9,1.1,0.9,1.1
Banana_harvested_area,0.1,9,0.1,7.3
Cassava_harvested_area,0.3,3.3,0.3,3.3
Cocoa_harvested_area,0,99,0,24
Coffee_harvested_area,0.3,3.3,0.2,4.6
Maize_harvested_area,0.2,4.3,0.2,4.6
Soybean_harvested_area,0.6,1.6,0.6,1.7
Sugarcane_harvested_area,0.3,3.5,0.3,3
Cattle_production,0.8,1.3,0.6,1.6
Forest_loss_2020-2023,1.4,0.7,1,1
Waterbodies,0.1,8.1,0,32.3
Precipitation_mean_2023,1.3,0.8,1,1
Annual_mean_temperature_2020,0,Inf,0,Inf
