node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
490,970,6.551584275449,-7.26142625190092,-64.7571394133252,-7.26057030081269,-64.7972401495272,6.551584275449,0,2016.43197485815,2022.9835591336,450000000
490,491,6.060515776557,-7.26142625190092,-64.7571394133252,-7.26169506227577,-64.7033831763353,6.060515776557,0,2016.43197485815,2022.49249063471,450000000
491,817,0.3093388877379,-7.26169506227577,-64.7033831763353,-8.94930120896814,-69.5417057225076,6.3698546642949,6.060515776557,2022.49249063471,2022.80182952245,450000000
491,492,0.3396557576287,-7.26169506227577,-64.7033831763353,-3.10272550168595,-59.9946492604945,6.4001715341857,6.060515776557,2022.49249063471,2022.83214639234,450000000
492,493,0.1600474409609,-3.10272550168595,-59.9946492604945,-5.81085107278014,-61.3098796310211,6.5602189751466,6.4001715341857,2022.83214639234,2022.9921938333,450000000
492,495,0.08622334951235,-3.10272550168595,-59.9946492604945,-3.10777743041656,-60.0214495288171,6.48639488369805,6.4001715341857,2022.83214639234,2022.91836974185,450000000
493,3,0.01683408795165,-5.81085107278014,-61.3098796310211,-5.81365676216902,-61.3048239437158,6.57705306309825,6.5602189751466,2022.9921938333,2023.00902792125,450000000
493,494,0.1242185530679,-5.81085107278014,-61.3098796310211,-5.80866478658283,-61.3052953770048,6.6844375282145,6.5602189751466,2022.9921938333,2023.11641238637,450000000
494,1,0.007684028034394,-5.80866478658283,-61.3052953770048,-5.80861888517238,-61.3031702431055,6.69212155624889,6.6844375282145,2023.11641238637,2023.1240964144,450000000
494,2,0.002204575979679,-5.80866478658283,-61.3052953770048,-5.80894402773117,-61.3053936557778,6.68664210419418,6.6844375282145,2023.11641238637,2023.11861696235,450000000
495,496,0.8724878411791,-3.10777743041656,-60.0214495288171,-3.1069656152761,-60.0200016396992,7.35888272487715,6.48639488369805,2022.91836974185,2023.79085758303,450000000
495,326,0.06052119309883,-3.10777743041656,-60.0214495288171,-3.10683331403552,-60.0285551908087,6.54691607679688,6.48639488369805,2022.91836974185,2022.97889093495,450000000
496,497,0.1409996768905,-3.1069656152761,-60.0200016396992,-3.10454119696145,-60.020191224815,7.49988240176765,7.35888272487715,2023.79085758303,2023.93185725992,450000000
496,517,0.009125725017925,-3.1069656152761,-60.0200016396992,-3.10597477705536,-60.0174149802772,7.36800844989507,7.35888272487715,2023.79085758303,2023.79998330805,450000000
497,24,0.008677510645495,-3.10454119696145,-60.020191224815,-3.10453645847687,-60.02066832948,7.50855991241315,7.49988240176765,2023.93185725992,2023.94053477057,450000000
497,498,0.004556416749663,-3.10454119696145,-60.020191224815,-3.10300837720988,-60.0214448607815,7.50443881851731,7.49988240176765,2023.93185725992,2023.93641367667,450000000
498,515,0.004096017831972,-3.10300837720988,-60.0214448607815,-3.10359133106024,-60.0209010386786,7.50853483634928,7.50443881851731,2023.93641367667,2023.9405096945,450000000
498,499,0.01376363958594,-3.10300837720988,-60.0214448607815,-3.10502761953501,-60.0250886162814,7.51820245810325,7.50443881851731,2023.93641367667,2023.95017731626,450000000
499,514,0.005237777693314,-3.10502761953501,-60.0250886162814,-3.10312450771055,-60.0252293840078,7.52344023579657,7.51820245810325,2023.95017731626,2023.95541509395,450000000
499,500,0.007731968707274,-3.10502761953501,-60.0250886162814,-3.10553395484349,-60.0255017769942,7.52593442681053,7.51820245810325,2023.95017731626,2023.95790928496,450000000
500,501,0.009502521906313,-3.10553395484349,-60.0255017769942,-3.10346241026954,-60.0268212113184,7.53543694871684,7.52593442681053,2023.95790928496,2023.96741180687,450000000
500,18,0.02372137601366,-3.10553395484349,-60.0255017769942,-3.10609811849613,-60.0200507339749,7.54965580282419,7.52593442681053,2023.95790928496,2023.98163066098,450000000
501,502,0.01582795291638,-3.10346241026954,-60.0268212113184,-3.10321657557449,-60.0265905577603,7.55126490163322,7.53543694871684,2023.96741180687,2023.98323975979,450000000
501,17,0.01147912807999,-3.10346241026954,-60.0268212113184,-3.10419368979769,-60.0268021159179,7.54691607679683,7.53543694871684,2023.96741180687,2023.97889093495,450000000
502,503,0.01452431170814,-3.10321657557449,-60.0265905577603,-3.10016540182437,-60.0282269075582,7.56578921334136,7.55126490163322,2023.98323975979,2023.9977640715,450000000
502,512,0.001120440183835,-3.10321657557449,-60.0265905577603,-3.10361917711087,-60.0269503558799,7.55238534181705,7.55126490163322,2023.98323975979,2023.98436019997,450000000
503,4,0.01397363342328,-3.10016540182437,-60.0282269075582,-3.09906505168984,-60.0252383758328,7.57976284676464,7.56578921334136,2023.9977640715,2024.01173770492,450000000
503,504,0.004804954469855,-3.10016540182437,-60.0282269075582,-3.09982014453701,-60.0282356131023,7.57059416781121,7.56578921334136,2023.9977640715,2024.00256902596,450000000
504,511,0.001134302000649,-3.09982014453701,-60.0282356131023,-3.099586067377,-60.0280255794117,7.57172846981186,7.57059416781121,2024.00256902596,2024.00370332797,450000000
504,505,0.004329731084449,-3.09982014453701,-60.0282356131023,-3.09996335125571,-60.0268079159238,7.57492389889566,7.57059416781121,2024.00256902596,2024.00689875705,450000000
505,506,0.00130244880975,-3.09996335125571,-60.0268079159238,-3.10020698962786,-60.0264030542207,7.57622634770541,7.57492389889566,2024.00689875705,2024.00820120586,450000000
505,5,0.002106707431624,-3.09996335125571,-60.0268079159238,-3.09934175688463,-60.0290577447953,7.57703060632729,7.57492389889566,2024.00689875705,2024.00900546448,450000000
506,507,0.0008337559668578,-3.10020698962786,-60.0264030542207,-3.1034101003308,-60.0242457558557,7.57706010367227,7.57622634770541,2024.00820120586,2024.00903496183,450000000
506,510,0.01841434082742,-3.10020698962786,-60.0264030542207,-3.09996387298917,-60.0209697130413,7.59464068853283,7.57622634770541,2024.00820120586,2024.02661554669,450000000
507,508,0.009629438065266,-3.1034101003308,-60.0242457558557,-3.10475736737151,-60.0243576564811,7.58668954173754,7.57706010367227,2024.00903496183,2024.01866439989,450000000
507,509,0.02811896765489,-3.1034101003308,-60.0242457558557,-3.10474400546563,-60.0252198989396,7.60517907132716,7.57706010367227,2024.00903496183,2024.03715392948,450000000
508,7,0.02586019027284,-3.10475736737151,-60.0243576564811,-3.10637690618312,-60.0292715398818,7.61254973201038,7.58668954173754,2024.01866439989,2024.04452459016,450000000
508,6,0.001270026338482,-3.10475736737151,-60.0243576564811,-3.10420978408501,-60.0230702704609,7.58795956807602,7.58668954173754,2024.01866439989,2024.01993442623,450000000
509,9,0.05108650767793,-3.10474400546563,-60.0252198989396,-3.10657443180268,-60.0248428594404,7.65626557900509,7.60517907132716,2024.03715392948,2024.08824043716,450000000
509,8,0.007370660683225,-3.10474400546563,-60.0252198989396,-3.10333142010426,-60.0239132243811,7.61254973201039,7.60517907132716,2024.03715392948,2024.04452459016,450000000
510,10,0.01790904347755,-3.09996387298917,-60.0209697130413,-3.09743009153983,-60.0209021398305,7.61254973201038,7.59464068853283,2024.02661554669,2024.04452459016,450000000
510,11,0.0124445626033,-3.09996387298917,-60.0209697130413,-3.09951277852988,-60.0205615199426,7.60708525113613,7.59464068853283,2024.02661554669,2024.03906010929,450000000
511,12,0.002569896078298,-3.099586067377,-60.0280255794117,-3.09975713095636,-60.0290916529129,7.57429836589016,7.57172846981186,2024.00370332797,2024.00627322404,450000000
511,13,0.005302136515424,-3.099586067377,-60.0280255794117,-3.09846927591743,-60.029259668524,7.57703060632729,7.57172846981186,2024.00370332797,2024.00900546448,450000000
512,14,0.02191302407311,-3.10361917711087,-60.0269503558799,-3.10649027233857,-60.0202089647688,7.57429836589017,7.55238534181705,2023.98436019997,2024.00627322404,450000000
512,513,0.006159263457317,-3.10361917711087,-60.0269503558799,-3.10366555515671,-60.0242559651468,7.55854460527437,7.55238534181705,2023.98436019997,2023.99051946343,450000000
513,16,0.002070101659241,-3.10366555515671,-60.0242559651468,-3.10230250449451,-60.0263395726078,7.56061470693361,7.55854460527437,2023.99051946343,2023.99258956509,450000000
513,15,0.007549553714183,-3.10366555515671,-60.0242559651468,-3.10380160258716,-60.0246282496105,7.56609415898855,7.55854460527437,2023.99051946343,2023.99806901714,450000000
514,19,0.004297758808307,-3.10312450771055,-60.0252293840078,-3.10502662479493,-60.0265127961699,7.52773799460487,7.52344023579657,2023.95541509395,2023.95971285276,450000000
514,20,0.03169501908234,-3.10312450771055,-60.0252293840078,-3.09917654846251,-60.0274500672938,7.55513525487891,7.52344023579657,2023.95541509395,2023.98711011303,450000000
515,21,0.01372370620087,-3.10359133106024,-60.0209010386786,-3.10563789713017,-60.0205818146633,7.52225854255015,7.50853483634928,2023.9405096945,2023.9542334007,450000000
515,516,0.0004711005058478,-3.10359133106024,-60.0209010386786,-3.10315168142638,-60.0201495947632,7.50900593685513,7.50853483634928,2023.9405096945,2023.94098079501,450000000
516,23,0.005033427612726,-3.10315168142638,-60.0201495947632,-3.1026778113683,-60.0266273718589,7.51403936446786,7.50900593685513,2023.94098079501,2023.94601422262,450000000
516,22,0.005033427612726,-3.10315168142638,-60.0201495947632,-3.10237526620845,-60.0219573555373,7.51403936446786,7.50900593685513,2023.94098079501,2023.94601422262,450000000
517,787,0.08664600401781,-3.10597477705536,-60.0174149802772,-3.09971616747524,-60.0238118774783,7.45465445391288,7.36800844989507,2023.79998330805,2023.88662931207,450000000
517,518,0.08792172811456,-3.10597477705536,-60.0174149802772,-3.10318682884803,-60.0245070756704,7.45593017800963,7.36800844989507,2023.79998330805,2023.88790503616,450000000
518,600,0.005641822085073,-3.10318682884803,-60.0245070756704,-3.10012623720091,-60.0233426892235,7.46157200009471,7.45593017800963,2023.88790503616,2023.89354685825,450000000
518,519,0.00212623142896,-3.10318682884803,-60.0245070756704,-3.10195088912646,-60.0250436785772,7.4580564094386,7.45593017800963,2023.88790503616,2023.89003126759,450000000
519,520,0.007291459454845,-3.10195088912646,-60.0250436785772,-3.10285608843954,-60.0256699322403,7.46534786889344,7.4580564094386,2023.89003126759,2023.89732272705,450000000
519,25,0.03132542078285,-3.10195088912646,-60.0250436785772,-3.10618510875475,-60.0231690608316,7.48938183022145,7.4580564094386,2023.89003126759,2023.92135668837,450000000
520,521,0.01968071286755,-3.10285608843954,-60.0256699322403,-3.10284973888584,-60.0242234058165,7.48502858176099,7.46534786889344,2023.89732272705,2023.91700343991,450000000
520,525,0.01214075298419,-3.10285608843954,-60.0256699322403,-3.10361453909348,-60.0279603883167,7.47748862187763,7.46534786889344,2023.89732272705,2023.90946348003,450000000
521,26,0.03449023476184,-3.10284973888584,-60.0242234058165,-3.09870167308388,-60.0285633297431,7.51951881652283,7.48502858176099,2023.91700343991,2023.95149367468,450000000
521,522,0.004005256546285,-3.10284973888584,-60.0242234058165,-3.10143540122903,-60.0206747776926,7.48903383830728,7.48502858176099,2023.91700343991,2023.92100869646,450000000
522,523,0.009537118766805,-3.10143540122903,-60.0206747776926,-3.10420109449236,-60.0209804297678,7.49857095707408,7.48903383830728,2023.92100869646,2023.93054581523,450000000
522,30,0.02226580013326,-3.10143540122903,-60.0206747776926,-3.10368582757034,-60.0213426394314,7.51129963844053,7.48903383830728,2023.92100869646,2023.94327449659,450000000
523,29,0.004509503284382,-3.10420109449236,-60.0209804297678,-3.10596949304918,-60.0213304465087,7.50308046035846,7.49857095707408,2023.93054581523,2023.93505531851,450000000
523,524,0.03025772461239,-3.10420109449236,-60.0209804297678,-3.1052238777082,-60.0211336052501,7.52882868168647,7.49857095707408,2023.93054581523,2023.96080353984,450000000
524,27,0.01808739511039,-3.1052238777082,-60.0211336052501,-3.09885520305905,-60.021363008182,7.54691607679686,7.52882868168647,2023.96080353984,2023.97889093495,450000000
524,28,0.01534766908281,-3.1052238777082,-60.0211336052501,-3.10283269166175,-60.0286372848428,7.54417635076928,7.52882868168647,2023.96080353984,2023.97615120892,450000000
525,526,0.003991655078046,-3.10361453909348,-60.0279603883167,-3.10284857106842,-60.0283015313262,7.48148027695568,7.47748862187763,2023.90946348003,2023.91345513511,450000000
525,558,0.002030211328035,-3.10361453909348,-60.0279603883167,-3.09971512516554,-60.0253634550174,7.47951883320567,7.47748862187763,2023.90946348003,2023.91149369136,450000000
526,63,0.01064127929313,-3.10284857106842,-60.0283015313262,-3.10330723287986,-60.0267556098189,7.49212155624881,7.48148027695568,2023.91345513511,2023.9240964144,450000000
526,527,0.01312684444469,-3.10284857106842,-60.0283015313262,-3.10328370233228,-60.0290162262407,7.49460712140037,7.48148027695568,2023.91345513511,2023.92658197955,450000000
527,31,0.008473338958095,-3.10328370233228,-60.0290162262407,-3.10509505694376,-60.0299586677111,7.50308046035846,7.49460712140037,2023.92658197955,2023.93505531851,450000000
527,528,0.02183293274718,-3.10328370233228,-60.0290162262407,-3.10631327007888,-60.02844134189,7.51644005414755,7.49460712140037,2023.92658197955,2023.9484149123,450000000
528,32,0.0003390363479251,-3.10631327007888,-60.02844134189,-3.10626948004699,-60.0283209621732,7.51677909049547,7.51644005414755,2023.9484149123,2023.94875394865,450000000
528,529,0.02755772214766,-3.10631327007888,-60.02844134189,-3.28143134855511,-60.184143142255,7.54399777629521,7.51644005414755,2023.9484149123,2023.97597263445,450000000
529,530,0.02053973406178,-3.28143134855511,-60.184143142255,-3.28336163846041,-60.1823598670125,7.56453751035699,7.54399777629521,2023.97597263445,2023.99651236851,450000000
529,534,0.01219386373905,-3.28143134855511,-60.184143142255,-3.28478145220841,-60.1869893921317,7.55619164003426,7.54399777629521,2023.97597263445,2023.98816649819,450000000
530,533,0.008694084756951,-3.28336163846041,-60.1823598670125,-3.28385795902577,-60.1852453888032,7.57323159511394,7.56453751035699,2023.99651236851,2024.00520645327,450000000
530,531,0.007123180501596,-3.28336163846041,-60.1823598670125,-3.28372867798238,-60.1816240770282,7.57166069085858,7.56453751035699,2023.99651236851,2024.00363554901,450000000
531,33,0.005369915468748,-3.28372867798238,-60.1816240770282,-3.28476855033381,-60.1855190861165,7.57703060632733,7.57166069085858,2024.00363554901,2024.00900546448,450000000
