time	diffusion_coefficient	number_of_branches
2018.46885693572	36695.4539890537	1.02
2018.51198618894	37745.1183879848	0.97
2018.55511544216	37776.4935969745	0.99
2018.59824469538	42374.5968009399	1.13
2018.6413739486	50640.9447415917	1.13
2018.68450320181	42701.8293164247	1.17
2018.72763245503	40280.6666103022	1.22
2018.77076170825	39496.6694459875	1.23
2018.81389096147	40542.6836130911	1.2
2018.85702021469	42476.4939047966	1.16
2018.9001494679	43239.2279278445	1.1
2018.94327872112	41890.5693239774	1.12
2018.98640797434	41471.0195303313	1.12
2019.02953722756	42047.0867436961	1.02
2019.07266648078	33238.2324842976	0.97
2019.11579573399	13056.9247611521	0.96
2019.15892498721	12822.206532373	0.96
2019.20205424043	13733.8836711816	0.91
2019.24518349365	13427.2505721606	0.96
2019.28831274687	13503.0996328957	1
2019.33144200009	14253.4378587957	0.95
2019.3745712533	14833.9675231585	0.94
2019.41770050652	15216.6704975877	0.93
2019.46082975974	15875.1051540329	0.94
2019.50395901296	16420.8317792177	0.96
2019.54708826618	17020.1688250798	0.96
2019.59021751939	17039.4098874187	0.86
2019.63334677261	8167.93379742255	0.88
2019.67647602583	6227.57684838155	0.85
2019.71960527905	6602.68052280971	0.81
2019.76273453227	6594.47641330151	0.8
2019.80586378549	6801.26362642128	0.8
2019.8489930387	7006.34286480749	0.8
2019.89212229192	7213.00846156529	0.8
2019.93525154514	7598.60617391428	0.76
2019.97838079836	8068.21804826042	0.72
2020.02151005158	8421.73993365017	0.68
2020.06463930479	8668.26001548532	0.66
2020.10776855801	7622.83920277743	0.64
2020.15089781123	7049.10179005613	0.62
2020.19402706445	7862.14734693269	0.63
2020.23715631767	7184.87436828664	0.64
2020.28028557088	6804.25959586354	0.57
2020.3234148241	5982.93239685106	0.59
2020.36654407732	5366.93367006738	0.62
2020.40967333054	4724.32144430404	0.63
2020.45280258376	5578.02889472892	0.56
2020.49593183698	5115.87673023559	0.5
2020.53906109019	4536.32629433671	0.52
2020.58219034341	4259.24483238682	0.52
2020.62531959663	4138.21502283522	0.49
2020.66844884985	4466.28788311672	0.46
2020.71157810307	4688.7369098311	0.43
2020.75470735628	4438.54939768465	0.43
2020.7978366095	4033.02611904963	0.51
2020.84096586272	4275.45747003898	0.51
2020.88409511594	5197.4963746095	0.54
2020.92722436916	5105.43516075583	0.59
2020.97035362238	4472.19906322062	0.71
2021.01348287559	4523.30743328779	0.74
2021.05661212881	7907.08127540379	0.8
2021.09974138203	11768.0088291155	0.8
2021.14287063525	15044.7758529508	0.83
2021.18599988847	11391.0132714517	0.91
2021.22912914168	12226.800261929	0.88
2021.2722583949	12373.6278770784	0.91
2021.31538764812	12436.0281817314	0.91
2021.35851690134	12424.9214120607	0.91
2021.40164615456	12883.7331134632	0.89
2021.44477540777	13628.4061677522	0.92
2021.48790466099	14330.9177890739	0.92
2021.53103391421	12918.6552096835	0.96
2021.57416316743	14043.9327167885	0.9
2021.61729242065	14274.4628050646	0.93
2021.66042167387	16100.2839271588	1.01
2021.70355092708	17400.0462215814	1.23
2021.7466801803	15476.9884342441	1.38
2021.78980943352	16605.3554520028	1.46
2021.83293868674	32102.1547331415	1.63
2021.87606793996	38953.6027336173	1.87
2021.91919719317	40598.1133943347	1.97
2021.96232644639	46215.5256947538	2.1
2022.00545569961	51052.2810153556	2.36
2022.04858495283	53903.4079040394	2.6
2022.09171420605	52045.1877365724	2.92
2022.13484345927	58998.2584255006	3.73
2022.17797271248	71617.2336874368	4.24
2022.2211019657	83623.0683920041	5.42
2022.26423121892	140527.802605256	7.46
2022.30736047214	145601.014304	10.76
2022.35048972536	176801.35073716	15.43
2022.39361897857	182299.927975636	18.57
2022.43674823179	163131.926416861	22.82
2022.47987748501	570007.491076643	30.93
2022.52300673823	766158.326173173	42.64
2022.56613599145	1033716.04591196	54.09
2022.60926524466	1180235.13343198	70.34
2022.65239449788	1182437.69378237	91.29
2022.6955237511	1326237.67798229	112.82
2022.73865300432	1249111.80370507	121.72
2022.78178225754	1255312.34559688	125.84
2022.82491151076	1246312.07385921	127.84
2022.86804076397	1283217.03313045	129.42
2022.91117001719	1279410.11713061	129.89
2022.95429927041	1273981.51403303	130.49
2022.99742852363	1270916.35824021	130.92
2023.04055777685	1265636.05759769	131.54
2023.08368703006	1259864.85266851	132.16
2023.12681628328	1252150.09714262	133.08
2023.1699455365	1243083.95460621	134.05
2023.21307478972	1227343.38808679	135.65
2023.25620404294	1209893.64370991	137.1
2023.29933329616	1178667.93932631	140.38
2023.34246254937	1151358.17744742	143.68
2023.38559180259	1006498.58823123	163.44
2023.42872105581	675762.171414526	244.62
2023.47185030903	471656.562938755	450.45
2023.51497956225	312026.579442281	654.4
2023.55810881546	326677.975456107	717.65
2023.60123806868	438450.288077427	773.66
2023.6443673219	483536.754071899	780.2
2023.68749657512	438787.933488063	792.65
2023.73062582834	415840.871494463	828.44
2023.77375508156	375962.297541222	903.07
2023.81688433477	369771.026804058	914.57
2023.86001358799	363790.251477539	909.68
2023.90314284121	363827.111675058	909.36
2023.94627209443	363849.986011621	909.08
2023.98940134765	363877.053998065	908.79
2024.03253060086	364040.576107107	908.44
2024.07565985408	364159.145845841	908.08
2024.1187891073	364390.83469514	907.51
2024.16191836052	364584.507404588	906.93
2024.20504761374	364951.921334498	905.92
2024.24817686695	365343.801543887	904.83
2024.29130612017	366059.956575843	902.84
2024.33443537339	367093.426702883	899.43
